Fecha,Linea,KM
2023-02-05T00:00:00Z,N339,4535.563
2019-10-25T00:00:00Z,N339,12059.331
2019-05-14T00:00:00Z,N339,11330.515
2019-06-25T00:00:00Z,203I,34815.29
2019-09-08T00:00:00Z,LINA,24382.528
2019-12-15T00:00:00Z,N339,10040.104
2019-06-27T00:00:00Z,N339,11795.865
2019-08-21T00:00:00Z,N339,12278.491
2019-11-15T00:00:00Z,N339,12918.576
2019-06-07T00:00:00Z,203I,32484.97
2019-06-12T00:00:00Z,203I,33525.21
2019-08-28T00:00:00Z,N339,12227.871
2023-05-08T00:00:00Z,N339,6310.678
2019-08-05T00:00:00Z,203I,29392.79
2020-02-21T00:00:00Z,N339,11787.689
2019-03-25T00:00:00Z,N339,11984.38
2019-01-24T00:00:00Z,N339,11234.245
2019-11-16T00:00:00Z,N339,12117.504
2019-03-09T00:00:00Z,L339,12993.362
2019-08-03T00:00:00Z,N339,12608.043
2019-05-18T00:00:00Z,N339,11515.13
2019-09-21T00:00:00Z,N339,12206.833
2019-08-17T00:00:00Z,N339,11918.021
2019-08-23T00:00:00Z,N339,12733.923
2019-01-28T00:00:00Z,N339,11633.357
2019-07-22T00:00:00Z,N339,12071.671
2019-02-22T00:00:00Z,L339,13299.751
2019-03-16T00:00:00Z,N339,11658.5
2022-03-03T00:00:00Z,203M,38651.2
2019-05-31T00:00:00Z,203I,32447.31
2019-05-30T00:00:00Z,N339,10791.522
2019-04-13T00:00:00Z,N339,11421.871
2019-02-12T00:00:00Z,N339,10689.095
2019-02-11T00:00:00Z,N339,11397.028
2019-06-13T00:00:00Z,N339,12751.922
2019-02-04T00:00:00Z,N339,10756.803
2019-04-08T00:00:00Z,203I,34260.73
2019-05-11T00:00:00Z,N339,12234.794
2023-03-16T00:00:00Z,N339,6184.541
2019-04-14T00:00:00Z,203I,22555.42
2019-06-28T00:00:00Z,N339,12955.073
2019-10-04T00:00:00Z,N339,12758.401
2019-06-19T00:00:00Z,203I,35107.93
2019-05-20T00:00:00Z,203I,33324.92
2023-09-27T00:00:00Z,N339,6487.096
2019-11-11T00:00:00Z,N339,14047.44
2019-07-29T00:00:00Z,N339,12452.631
2019-10-21T00:00:00Z,N339,11976.589
2019-11-04T00:00:00Z,N339,13664.261
2019-06-25T00:00:00Z,N339,13689.35
2019-02-06T00:00:00Z,N339,11022.412
2019-07-25T00:00:00Z,N339,12190.923
2019-03-06T00:00:00Z,N339,12810.801
2019-09-08T00:00:00Z,N339,11848.45
2023-06-05T00:00:00Z,N339,7466.313
2019-08-05T00:00:00Z,N339,12185.818
2019-09-28T00:00:00Z,N339,11875.19
2019-06-14T00:00:00Z,203I,34647.7
2020-01-03T00:00:00Z,N339,10416.79
2019-08-08T00:00:00Z,N339,12149.158
2020-08-05T00:00:00Z,203I,31764.5
2023-03-31T00:00:00Z,N339,5162.268
2019-06-18T00:00:00Z,N339,12138.766
2019-08-18T00:00:00Z,N339,11896.756
2019-02-26T00:00:00Z,N339,11251.883
2019-03-14T00:00:00Z,L339,17438.759
2019-12-13T00:00:00Z,N339,10470.4
2019-07-10T00:00:00Z,LMAV,7343.326
2019-08-13T00:00:00Z,N339,12310.789
2019-03-08T00:00:00Z,N339,11817.513
