FechaRecaudacion,Cantidad_Pasajeros
2022-08-14,77043
2022-08-15,61622
2022-08-16,257290
2022-08-17,258934
2022-08-18,235231
2022-08-19,221979
2022-08-20,131587
2022-08-21,75654
2022-08-22,249916
2022-08-23,217295
2022-08-24,214930
2022-08-25,207167
2022-08-26,235189
2022-08-27,116128
2022-08-28,66093
2022-08-29,247116
2022-08-30,211607
2022-08-31,215351
2022-09-01,205470
2022-09-02,127420
2022-09-03,130543
2022-09-04,70799
2022-09-05,259274
2022-09-06,265629
2022-09-07,267490
2022-09-08,266717
2022-09-09,261935
2022-09-10,137263
2022-09-11,70902
2022-09-12,255511
2022-09-13,264774
2022-09-14,267976
2022-09-15,270441
2022-09-16,269321
2022-09-17,134493
2022-09-18,54494
2022-09-19,244990
2022-09-20,227442
2022-09-21,215033
2022-09-22,244588
2022-09-23,265504
2022-09-24,133986
2022-09-25,73816
2022-09-26,233852
2022-09-27,240208
2022-09-28,239235
2022-09-29,236407
2022-09-30,260918
2022-10-01,132458
2022-10-02,71836
2022-10-03,248502
2022-10-04,269212
2022-10-05,264797
2022-10-06,270609
2022-10-07,105915
2022-10-08,114750
2022-10-09,71244
2022-10-10,69026
2022-10-11,274310
2022-10-14,267292
2022-10-15,115249
2022-10-16,67234
2022-10-17,254687
2022-10-18,260234
2022-10-19,262049
2022-10-20,254302
2022-10-21,267311
2022-10-22,125160
2022-10-23,71829
2022-10-24,264508
2022-10-25,240277
2022-10-26,243661
2022-10-27,255434
2022-10-28,255712
2022-10-29,124190
2022-10-30,51215
2022-10-31,247129
2022-11-01,256911
2022-11-02,260553
2022-11-03,258214
2022-11-04,265417
2022-11-05,133278
2022-11-06,70369
2022-11-07,256386
2022-11-08,262350
2022-11-09,264556
2022-11-10,243034
2022-11-11,269159
2022-11-12,122922
2022-11-13,49751
2022-11-14,261757
2022-11-15,216159
2022-11-16,264827
2022-11-17,260169
2022-11-18,269086
2022-11-19,128020
2022-11-20,66987
2022-11-21,72586
2022-11-22,235102
2022-11-23,261915
2022-11-24,253131
2022-11-25,249682
2022-11-26,110956
2022-11-27,61730
2022-11-28,232339
2022-11-29,244031
2022-11-30,210321
2022-12-01,246819
2022-12-02,231465
2022-12-03,115776
2022-12-04,63330
2022-12-05,233928
2022-12-06,238769
2022-12-07,244062
2022-12-08,94637
2022-12-09,71134
2022-12-10,113659
2022-12-11,61381
2022-12-12,232142
2022-12-13,210324
2022-12-14,239896
2022-12-15,243969
2022-12-16,250974
2022-12-17,145165
2022-12-18,20726
2022-12-19,218901
2022-12-20,174174
2022-12-21,247698
2022-12-22,248060
2022-12-23,203670
2022-12-24,86620
2022-12-25,33587
2022-12-26,173953
2022-12-27,189175
2022-12-28,191935
2022-12-29,190014
2022-12-30,164781
2022-12-31,71222
2023-01-01,29474
2023-01-02,148119
2023-01-03,169643
2023-01-04,175341
2023-01-05,182701
2023-01-06,183363
2023-01-07,107847
2023-01-08,60338
2023-01-09,168224
2023-01-10,175807
2023-01-11,174619
2023-01-12,173718
2023-01-13,189011
2023-01-14,113836
2023-01-15,62069
2023-01-16,170113
2023-01-17,174575
2023-01-18,177094
2023-01-19,178296
2023-01-20,160858
2023-01-21,111307
2023-01-22,62382
2023-01-23,175387
2023-01-24,172844
2023-01-25,183633
2023-01-26,175503
2023-01-27,148996
2023-01-28,112427
2023-01-29,62272
2023-01-30,178819
2023-01-31,180098
2023-02-01,190779
2023-02-02,187276
2023-02-03,200698
2023-02-04,121381
2023-02-05,65881
2023-02-06,198280
2023-02-07,200989
2023-02-08,206473
2023-02-09,205099
2023-02-10,205401
2023-02-11,112116
2023-02-12,57980
2023-02-13,190867
2023-02-14,214664
2023-02-15,215394
2023-02-16,207242
2023-02-17,215819
2023-02-18,117617
2023-02-19,67917
2023-02-20,68993
2023-02-21,69445
2023-02-22,221674
2023-02-23,205355
2023-02-24,224395
2023-02-25,119773
2023-02-26,64238
2023-02-27,213591
2023-02-28,213189
2023-03-01,209419
2023-03-02,215011
2023-03-03,242802
2023-03-04,123616
2023-03-05,62682
2023-03-06,245330
2023-03-07,220789
2023-03-08,175150
2023-03-09,259573
2023-03-10,255067
2023-03-11,120657
2023-03-12,62825
2023-03-13,246606
2023-03-14,243503
2023-03-15,256817
2023-03-16,253527
2023-03-17,250303
2023-03-18,128204
2023-03-19,61705
2023-03-20,261628
2023-03-21,214894
2023-03-22,266431
2023-03-23,279122
2023-03-24,60521
2023-03-25,121699
2023-03-26,70041
2023-03-27,263427
2023-03-28,269697
2023-03-29,264402
2023-03-30,266048
2023-03-31,264929
2023-04-01,133565
2023-04-02,69243
2023-04-03,269448
2023-04-04,289618
2023-04-05,301517
2023-04-06,152118
2023-04-07,79155
2023-04-08,124816
2023-04-09,61719
2023-04-10,286316
2023-04-11,286219
2023-04-12,266777
2023-04-13,296882
2023-04-14,290552
2023-04-15,139088
2023-04-16,69567
2023-04-17,279293
2023-04-18,280323
2023-04-19,289362
2023-04-20,287160
2023-04-21,278419
2023-04-22,139417
2023-04-23,72080
2023-04-24,287192
2023-04-25,282748
2023-04-26,297988
2023-04-27,295185
2023-04-28,280540
2023-04-29,142080
2023-04-30,60815
2023-05-01,59894
2023-05-02,293366
2023-05-03,296616
2023-05-04,296902
2023-05-05,252343
2023-05-06,133240
2023-05-07,76568
2023-05-08,295677
2023-05-09,300616
2023-05-10,306619
2023-05-11,302316
2023-05-12,296869
2023-05-13,150928
2023-05-14,83226
2023-05-15,291109
2023-05-16,301767
2023-05-17,298836
2023-05-18,297846
2023-05-19,255474
2023-05-20,142695
2023-05-21,67510
2023-05-22,291525
2023-05-23,288525
2023-05-24,205279
2023-05-25,61035
2023-05-26,95604
2023-05-27,127164
2023-05-28,74737
2023-05-29,284632
2023-05-30,287074
2023-05-31,287148
2023-06-01,296967
2023-06-02,294234
2023-06-03,141936
2023-06-04,79393
2023-06-05,293552
2023-06-06,297441
2023-06-07,286230
2023-06-08,304180
2023-06-09,292537
2023-06-10,151585
2023-06-11,74857
2023-06-12,287022
2023-06-14,287468
2023-06-15,295748
2023-06-16,281966
2023-06-17,121011
2023-06-18,71005
2023-06-19,74630
2023-06-20,75907
2023-06-21,287281
2023-06-23,256296
2023-06-24,130273
2023-06-25,77142
2023-06-26,280542
2023-06-27,281683
2023-06-28,285411
2023-06-29,279544
2023-06-30,280597
2023-07-01,142712
2023-07-02,71382
2023-07-03,277435
2023-07-04,284910
2023-07-05,281757
2023-07-06,253630
2023-07-07,283922
2023-07-08,134395
2023-07-09,72628
2023-07-10,266814
2023-07-11,265429
2023-07-12,204609
2023-07-13,264188
2023-07-14,270606
2023-07-15,136144
2023-07-16,8285
2023-07-17,207110
2023-07-18,216498
2023-07-19,219712
2023-07-20,227510
