"Date","Price","Open","High","Low","Vol.","Change %"
"11/06/2023","5,597.70","5,629.34","5,661.92","5,583.25","","-0.41%"
"11/03/2023","5,620.57","5,460.65","5,620.71","5,448.88","","2.93%"
"11/02/2023","5,460.65","5,407.50","5,466.83","5,363.16","","0.98%"
"10/31/2023","5,407.50","5,433.36","5,464.82","5,369.95","","-0.48%"
"10/30/2023","5,433.36","5,568.35","5,568.35","5,429.68","","-2.42%"
"10/26/2023","5,568.35","5,515.62","5,594.08","5,503.09","","0.96%"
"10/25/2023","5,515.62","5,557.62","5,575.57","5,489.83","","-0.76%"
"10/24/2023","5,557.62","5,503.33","5,574.47","5,503.33","","0.99%"
"10/23/2023","5,503.33","5,631.33","5,633.35","5,503.33","","-2.27%"
"10/20/2023","5,631.33","5,713.44","5,713.71","5,615.06","","-1.44%"
"10/19/2023","5,713.44","5,796.44","5,796.44","5,712.80","","-1.43%"
"10/18/2023","5,796.44","5,890.74","5,890.74","5,779.70","","-1.60%"
"10/17/2023","5,890.74","5,853.21","5,916.01","5,831.45","","0.64%"
"10/16/2023","5,853.21","5,777.75","5,867.12","5,760.72","","1.31%"
"10/13/2023","5,777.75","5,800.22","5,842.07","5,767.75","","-0.39%"
"10/12/2023","5,800.22","5,780.96","5,846.57","5,780.96","","0.33%"
"10/11/2023","5,780.96","5,781.40","5,838.18","5,767.03","","-0.01%"
"10/10/2023","5,781.40","5,659.29","5,781.92","5,647.30","","2.16%"
"10/06/2023","5,659.29","5,615.83","5,669.38","5,562.47","","0.77%"
"10/05/2023","5,615.83","5,699.33","5,728.72","5,615.83","","-1.47%"
"10/04/2023","5,699.33","5,685.84","5,726.53","5,668.99","","0.24%"
"10/03/2023","5,685.84","5,755.64","5,756.85","5,685.07","","-1.21%"
"10/02/2023","5,755.64","5,833.36","5,853.19","5,748.11","","-1.33%"
"09/29/2023","5,833.36","5,824.68","5,868.68","5,818.68","","0.15%"
"09/28/2023","5,824.68","5,762.70","5,837.24","5,762.60","","1.08%"
"09/27/2023","5,762.70","5,762.58","5,787.43","5,734.70","","0.00%"
"09/26/2023","5,762.58","5,785.84","5,807.55","5,756.01","","-0.40%"
"09/25/2023","5,785.84","5,831.95","5,852.66","5,775.40","","-0.79%"
"09/22/2023","5,831.95","5,857.72","5,888.57","5,823.28","","-0.44%"
"09/21/2023","5,857.72","5,932.83","5,935.57","5,856.36","","-1.27%"
"09/20/2023","5,932.83","6,002.67","6,002.67","5,932.83","","-1.16%"
"09/15/2023","6,002.67","6,002.07","6,058.88","6,002.07","","0.01%"
"09/14/2023","6,002.07","5,915.52","6,002.07","5,915.52","","1.46%"
"09/13/2023","5,915.52","5,886.42","5,949.22","5,880.14","","0.49%"
"09/12/2023","5,886.42","5,879.15","5,909.28","5,879.15","","0.12%"
"09/11/2023","5,879.15","5,868.85","5,893.87","5,865.64","","0.18%"
"09/08/2023","5,868.85","5,885.52","5,904.46","5,868.47","","-0.28%"
"09/07/2023","5,885.52","5,905.74","5,932.43","5,870.03","","-0.34%"
"09/06/2023","5,905.74","5,927.93","5,937.37","5,899.31","","-0.37%"
"09/05/2023","5,927.93","5,990.24","6,001.45","5,924.51","","-1.04%"
"09/04/2023","5,990.24","5,996.36","6,020.26","5,976.23","","-0.10%"
"09/01/2023","5,996.36","6,009.28","6,057.69","5,985.69","","-0.21%"
"08/31/2023","6,009.28","6,028.19","6,049.00","6,009.28","","-0.31%"
"08/30/2023","6,028.19","6,059.65","6,062.77","6,028.19","","-0.52%"
"08/29/2023","6,059.65","6,030.15","6,059.65","6,016.14","","0.49%"
"08/28/2023","6,030.15","6,046.62","6,081.31","6,025.25","","-0.27%"
"08/25/2023","6,046.62","6,067.74","6,081.80","6,030.83","","-0.35%"
"08/24/2023","6,067.74","6,189.92","6,207.94","6,066.71","","-1.97%"
"08/23/2023","6,189.92","6,158.74","6,232.21","6,141.79","","0.51%"
"08/22/2023","6,158.74","6,122.92","6,165.66","6,119.96","","0.59%"
"08/21/2023","6,122.92","6,133.26","6,167.19","6,095.34","","-0.17%"
"08/18/2023","6,133.26","6,131.50","6,133.36","6,040.46","","0.03%"
"08/17/2023","6,131.50","6,213.18","6,213.18","6,129.35","","-1.31%"
"08/16/2023","6,213.18","6,216.27","6,216.27","6,162.69","","-0.05%"
"08/14/2023","6,216.27","6,257.44","6,257.44","6,201.44","","-0.66%"
"08/11/2023","6,257.44","6,290.34","6,290.34","6,249.11","","-0.52%"
"08/10/2023","6,290.34","6,341.36","6,357.20","6,279.50","","-0.80%"
"08/09/2023","6,341.36","6,241.32","6,342.02","6,241.32","","1.60%"
"08/08/2023","6,241.32","6,318.35","6,320.16","6,240.43","","-1.22%"
"08/07/2023","6,318.35","6,292.64","6,318.78","6,273.33","","0.41%"
"08/04/2023","6,292.64","6,272.29","6,341.08","6,272.29","","0.32%"
"08/03/2023","6,272.29","6,332.10","6,360.26","6,272.29","","-0.94%"
"08/02/2023","6,332.10","6,432.76","6,432.76","6,318.27","","-1.56%"
"08/01/2023","6,432.76","6,394.40","6,432.76","6,387.26","","0.60%"
