Mes,Year,Linea,KM
1,2020,L129,75513.632
12,2021,L142,286338.533
2,2022,L102/144,64131.03
12,2020,L103,183572.345
4,2019,L740,322237.618
5,2022,L110,213582.9
3,2022,L440,993577.839999999
8,2023,L102/144,105192.906
7,2023,L145/133,225821.473
12,2021,L110,215416.027
2,2021,L142,212632.081
8,2022,L133/125,171040.561
9,2023,L103,230450.581
7,2023,L740,255027.13
1,2023,L740,243427.03
10,2019,L128,146226.598
6,2020,L129,44719.242
9,2023,L107,204541.632
8,2020,L110,141299.883
12,2019,L133,195748.296
11,2022,L110,240225.875
2,2021,L133/125,176601.354
2,2019,L129,69275.223
10,2020,L103,178527.193
6,2019,L145,160269.12
2,2021,L101,49561.922
12,2020,L315,199447.11
5,2020,L129,20200.348
11,2021,L110,222840.605
10,2020,L315,205986.97
7,2019,L146,180927.997
10,2019,L145,167986.513
11,2020,L101,34091.864
11,2020,L142,157097.554
8,2023,L101,101411.417
9,2019,L101,119791.226
1,2021,L143,133563.608
1,2023,L102/144,88114.8760000001
2,2021,LI41,250416.9
1,2021,L129,39081.329
1,2021,L103,178308.713
3,2019,L102,159407.869
2,2023,L110,174824.876
11,2022,L315,278797.23
7,2023,L101,93389.554
2,2019,L130,59990.564
1,2020,L102,74759.0810000001
10,2021,L130/146,147372.991
1,2023,L110,197630.554
3,2020,L133,175645.239
8,2019,L145,180099.517
11,2019,L128,139591.309
7,2019,L143,219918.04
9,2020,L143,73995.3990000001
7,2022,L315,265515.4
11,2020,L143,114874.427
4,2022,L110,206946.17
11,2021,L145/133,230922.259
8,2020,L133,115210.29
8,2020,359V,146178.622
6,2022,L103,193211.659
8,2023,L143/136/137,188098.926
8,2023,L740,271824.11
6,2021,L359,135026.808
11,2019,L315,272185.107
8,2020,L101,44055.474
2,2019,L146,151281.229
1,2023,L315,212469.75
2,2020,L128,107494.023
11,2023,L146,65522.818
8,2020,L143,153915.305
12,2019,L107,198807.86
1,2019,L102,137691.018
9,2020,L145,47313.9129999999
7,2023,L359,125586.015
7,2019,L103,231006.431000001
2,2023,L145/133,171746.206
9,2023,L102/144,101950.252
8,2023,LIGM,100080.39
10,2022,L107,175448.927
3,2020,L107,175373.885
11,2022,L103,217739.59
3,2021,L143/136/137,185207.521
11,2019,LI41,350315.89
8,2020,L102,32189.175
12,2021,L315,242848.13
10,2022,L359,176908.203
2,2019,L315,198380.431000001
1,2022,L740,227602.3
8,2019,L103,231549.628
4,2020,L102,41621.035
8,2021,L103,193034.755
12,2019,L103,222006.531
10,2022,L103,196359.974
4,2023,L128,103207.44
5,2019,L740,315401.211999999
7,2022,L440,909858.630000001
1,2019,L130,64556.843
6,2021,L315,190834.08
6,2019,L128,138541.578
9,2023,L145/133,231427.385
7,2019,L145,173656.456
5,2021,L128,76388.6710000001
9,2021,L142,298126.442
2,2020,L102,65990.297
8,2023,L103,234075.074
10,2021,L102/144,107133.735
6,2019,L103,217479.489
6,2022,L359,191289.39
8,2019,L133,205333.515
12,2020,L740,240292.39
3,2021,L101,76988.0610000001
11,2022,L359,197112.217
2,2022,L133/125,109134.974
5,2019,L128,143063.09
10,2021,L145/133,223106.857
10,2019,L102,99252.379
1,2020,L107,191527.729999999
6,2020,L128,79444.799
8,2021,L133/125,155539.797
1,2019,L440,904259.156999997
8,2020,L146,111899.488
12,2019,L128,128428.713
4,2021,L128,111286.637
3,2020,L146,146607.91
5,2022,L142,285713.682
2,2019,L128,115459.989
9,2019,L315,276577.488
10,2019,L129,84020.9819999999
4,2022,L142,269412.873
1,2023,L133/125,142990.655
12,2022,L145/133,198702.904
11,2021,L130/146,150326.885
12,2019,L129,79080.9340000001
1,2020,L133,180839.032
1,2022,L142,234519.433
12,2022,L110,215032.341
12,2019,L102,79545.7789999999
12,2019,L130,64087.8450000001
7,2021,L110,160903.757
9,2019,L102,99196.8960000001
11,2019,L102,89630.1700000001
8,2020,L128,87837.8540000001
3,2019,L315,278968.008
11,2020,L130,24216.287
4,2019,L103,223295.622
9,2019,L128,140134.249
7,2020,LEXP,19975.078
4,2022,L145/133,215190.171
11,2019,L103,224902.351
1,2023,L126,38294.464
7,2020,L143,17030.429
7,2020,L103,17726.152
12,2019,LIGM,18295.699
3,2020,L103,194463.029
7,2021,L102/144,72980.012
11,2023,L440,416708.57
9,2020,L103,77544.5090000001
8,2022,L142,318773.895
2,2023,L315,197671.56
1,2019,L146,160395.38
4,2020,L103,157052.606
7,2023,L143/136/137,180341.291
12,2022,L103,200361.644
10,2021,L143/136/137,159464.48
5,2023,L140,112590.454
8,2022,L103,207104.322
3,2021,L128,110952.143
11,2019,L144,66008.529
6,2020,L146,103616.064
7,2023,LI41,314624.06
3,2023,L126,47468.46
2,2021,L102/144,71160.036
8,2019,L128,144707.698
7,2019,L128,140080.183
7,2020,L359,17150.321
2,2020,L103,192374.547
5,2019,L103,223388.873
12,2020,L143,177922.813
10,2019,L103,231189.42
2,2019,L101,91156.8960000001
1,2019,L128,124657.802
3,2019,L103,225246.37
3,2020,L128,116900.324
10,2023,L122,244687.47
9,2019,L103,229522.447
6,2023,L315,247722.04
2,2023,L142,247178.028
10,2022,L142,286837.544
5,2020,L146,38964.636
12,2020,L101,61057.932
6,2021,L133/125,141658.219
4,2021,L102/144,102477.243
1,2020,L130,63780.971
8,2019,L315,283416.927
11,2022,L102/144,99536.798
2,2020,L146,152755.772
8,2020,L315,201183.79
3,2022,L143/136/137,181273.133
3,2021,L102/144,112607.196
11,2019,L740,279944.979
3,2021,L133/125,192101.977
5,2020,L107,51024.766
4,2021,L740,237737.63
3,2022,L142,284200.696
5,2023,L315,250600.41
11,2021,L101,81860.782
11,2021,L107,186252.761
7,2021,L315,215364.13
7,2019,LI41,349892.12
10,2021,L103,197810.504
1,2020,L128,123811.149
7,2023,L107,195328.568
2,2022,L143/136/137,125803.887
7,2023,L138,94100.8089999999
12,2020,L144,32166.129
9,2019,L146,175625.171
10,2019,L107,209369.047
8,2023,L133/125,169296.856
4,2021,L142,264475.828
8,2021,L143/136/137,164558.818
5,2021,L143/136/137,136137.026
11,2019,L146,173866.421
4,2020,L128,84233.084
5,2023,L138,101227.119
12,2021,L133/125,148801.687
12,2022,L315,234919.14
1,2021,L128,76675.96
8,2020,L103,158303.82
8,2023,L146,159244.72
9,2022,L359,197145.871
7,2021,L130/146,116699.041
8,2021,L142,280472.471000001
6,2020,L103,137515.329
2,2021,L128,80600.6120000001
4,2020,L146,115817.139
3,2021,L103,209872.097
7,2021,L133/125,135568.249
11,2020,L144,19664.3
1,2023,LIGM,75233.488
1,2020,L103,208113.232
6,2021,L110,158032.479
10,2019,L130,71694.088
4,2020,L107,140423.555
5,2021,L133/125,140441.858
2,2021,L145/133,180696.683
9,2023,L110,237953.753
3,2022,L315,293837.98
6,2020,L740,234143.44
1,2020,L145,142824.876
8,2023,L107,208706.581
2,2020,L130,58475.9900000001
2,2021,L143/136/137,159098.355
6,2020,L315,200745.933
7,2022,L102/144,93324.9719999999
4,2021,L143/136/137,174278.352
11,2019,L101,113136.569
4,2021,L103,197014.473
4,2022,L102/144,94085.465
10,2019,L101,120908.887
11,2021,L133/125,156825.407
5,2021,L142,200340.474
7,2022,L143/136/137,167356.751
9,2021,L145/133,229369.001
8,2019,L107,214495.351
12,2022,L122,217901.544
11,2021,L103,200410.164
4,2022,L143/136/137,165346.61
6,2023,LI41,309484.79
1,2019,L101,97354.88
9,2020,L315,197440.05
1,2023,L130/146,127419.649
10,2023,L146,153629.191
10,2020,L128,78901.4290000001
10,2020,L146,131887.522
9,2021,L133/125,160275.653
12,2019,L125,65415.537
1,2021,L133,84725.784
9,2021,L130/146,154345.002
5,2023,L101,96401.6570000001
12,2021,L143/136/137,163756.212
3,2022,L133/125,159944.567
9,2019,L107,208897.049
11,2019,L130,68214.657
4,2023,L315,241992.04
4,2020,L130,35136.284
12,2021,L145/133,224241.754
2,2020,L740,225424.06
7,2021,L359,139217.471
3,2020,L130,61842.226
5,2022,L143/136/137,164655.753
8,2023,L128,117527.959
9,2020,LIGM,99775.8810000001
9,2020,L128,41074.054
7,2021,L103,173419.094
5,2020,L103,54639.2440000001
2,2022,L107,135983.043
11,2020,L128,47896.074
6,2022,L143/136/137,166530.916
12,2021,L102/144,95856.8600000002
9,2019,L145,164251.855
1,2023,L103,200220.97
5,2019,LI41,328122.49
5,2023,LI41,318660.8
10,2019,L146,180547.135
6,2020,359V,118304.236
5,2023,L102/144,101624.538
12,2020,L107,168774.906
2,2022,L130/146,110724.333
3,2021,L130/146,155243.161
10,2020,L142,237312.302
7,2022,L101,85622.351
6,2019,LI41,317434.34
11,2022,L143/136/137,171517.97
12,2022,L359,182613.009
2,2023,L107,145549.41
2,2021,L740,201966.07
9,2021,L102/144,114145.985
9,2020,L144,15856.139
10,2023,LI41,308081.43
7,2023,L146,152990.028
2,2019,LI41,267966.6
1,2021,L144,20687.137
11,2023,L128,46437.778
4,2023,L140,107394.251
8,2022,L101,99842.39
11,2022,L107,196922.315
1,2022,L128,83300.437
4,2022,L133/125,150830.956
8,2022,L143/136/137,183087.988
9,2020,L107,68842.4980000001
8,2022,L359,206435.538
9,2021,L101,84234.609
10,2021,L315,152556.1
9,2022,L101,96955.507
8,2021,L107,175339.767
5,2021,L740,245341.59
1,2020,L144,49375.628
8,2021,L130/146,139163.218
10,2020,L107,159237.612
5,2023,L107,196017.343
1,2020,L146,168659.835
5,2022,L102/144,96952.439
6,2020,L142,192262.207
11,2023,L107,85144.8249999999
8,2021,L102/144,85641.806
6,2021,L107,154980.093
9,2021,L107,179252.308
8,2021,L315,235627.45
10,2023,L102/144,103236.398
1,2022,L143/136/137,136909.826
5,2022,L126,35112.145
5,2022,L107,188080.846
7,2023,L315,233689.25
10,2020,L143,171140.897
5,2020,L740,230358.72
11,2020,L107,109228.49
2,2023,L143/136/137,135669.844
11,2023,L126,23660.431
9,2023,LIGM,86921.7949999999
2,2023,L740,216447.42
8,2022,L107,203582.593
1,2021,L107,163983.873
2,2021,L107,159045.286
3,2022,L107,193011.637
1,2021,L146,88785.8479999999
5,2021,L130/146,116792.75
9,2020,L142,101071.523
10,2020,L130,35388.496
2,2023,L146,94294.076
7,2021,L145/133,172921.993
12,2022,L107,183269.298
4,2022,L107,184658.991
12,2020,L146,129922.891
8,2020,L107,138594.381
5,2019,L145,171496.95
6,2020,L102,29391.052
6,2022,L142,292360.242
4,2023,L126,51543.441
9,2022,L102/144,102425.492
6,2023,L126,50179.072
1,2023,L143/136/137,147458.577
12,2021,L107,171049.369
9,2022,L107,203832.452
12,2022,L140,98151.294
7,2021,L107,157899.424
9,2022,L110,243794.955
9,2020,L125,17123.125
3,2020,L101,91607.661
2,2020,L144,53157.927
1,2023,L107,178214.994
8,2022,L140,113435.73
9,2020,L146,54246.832
12,2022,LI41,293283.2
10,2022,L130/146,141554.567
11,2020,L125,24173.223
7,2021,L143/136/137,141251.445
12,2022,L143/136/137,155806.549
7,2022,L740,264115.84
7,2022,L128,102969.826
1,2023,L145/133,198375.655
6,2023,L143/136/137,159643.342
6,2019,L125,68888.998
1,2022,L107,143083.807
10,2022,L102/144,90445.305
3,2022,L145/133,240666.127
10,2022,L110,213515.488
12,2021,L101,73427.555
5,2021,L107,132365.464
7,2020,359V,17705.087
9,2022,L143/136/137,171431.202
1,2021,L102/144,18095.014
6,2021,L128,74546.008
10,2022,L143/136/137,152916.801
9,2021,L143/136/137,156197.126
9,2021,L103,199493.315
7,2021,L142,240948.241
5,2022,L740,277152.97
7,2022,L107,184733.054
1,2021,L145/133,44113.836
5,2022,L122,104453.855
6,2022,L107,187651.631
8,2020,L130,35394.937
12,2021,L103,194837.58
7,2023,L140,107775.102
5,2021,L102/144,76077.4279999999
4,2022,L101,82433.2090000001
1,2019,L144,47576.221
11,2019,L125,71348.7360000001
4,2021,L107,175039.965
1,2022,L101,53764.995
2,2019,L125,61397.955
6,2021,L130/146,124917.926
10,2022,L101,86364.5740000001
12,2022,L130/146,136412.322
2,2023,L122,183089.835
3,2021,L107,189493.761
6,2021,L102/144,68874.021
4,2023,LI41,308042.2
3,2020,L125,62123.3150000001
12,2019,L144,55990.316
9,2020,L740,242476.56
9,2023,L122,241879.889
7,2019,L125,72760.6869999999
12,2019,L101,100226.619
8,2019,L144,69572.959
5,2023,L143/136/137,185545.229
5,2023,L126,58172.553
6,2023,L102/144,91574.741
9,2022,LIGM,123223.716
5,2022,L138,71555.162
4,2019,L125,71450.174
2,2022,L101,51458.287
2,2022,L145/133,167719.422
1,2023,L101,79600.136
11,2023,L102/144,45948.053
7,2020,L146,13255.035
12,2020,L125,42836.342
11,2022,L130/146,156569.682
8,2021,L145/133,216975.388
7,2023,L103,218774.642
2,2019,L144,51362.199
1,2021,L315,198789.55
12,2021,L130/146,140599.886
6,2023,L740,262394.74
8,2022,L145/133,237163.28
8,2021,L740,249502.96
9,2023,L146,152913.542
12,2022,L101,84230.554
5,2023,L128,112692.832
9,2022,L130/146,157716.906
9,2023,L138,96395.144
4,2020,L133,117804.323
1,2022,L102/144,66948.457
11,2023,L101,40957.78
3,2022,L103,205847.083
10,2022,L145/133,203942.468
12,2022,L102/144,87644.0210000001
4,2020,L740,172364.34
2,2022,L103,153060.296
9,2021,L740,255896.66
3,2021,L740,253632.36
6,2021,L142,234690.443
9,2022,L103,205399.017
4,2022,L103,192255.03
5,2022,L103,193764.088
6,2021,L103,167925.778
5,2020,LIGM,1489.829
8,2020,L125,37972.995
7,2022,L103,198379.27
5,2019,L144,65982.992
6,2023,L140,99705.997
5,2019,L125,70865.2989999999
8,2020,L145,98959.688
6,2021,L740,230320.74
2,2019,L740,247799.024
1,2021,L125,27826.923
2,2023,L138,77224.314
4,2021,L130/146,151637.831
2,2020,L101,82660.6449999999
9,2023,L126,54768.702
1,2022,L145/133,183993.353
9,2022,L145/133,234007.683
12,2021,L740,278722.42
9,2023,L140,110800.349
2,2023,L130,40845.969
12,2022,L138,85126.7700000001
8,2022,L740,277471.21
6,2022,L740,278279.56
2,2023,L101,70233.379
6,2022,L102/144,96057.992
6,2022,L101,91820.611
11,2022,L140,109847.405
7,2022,LIGM,96938.605
3,2019,L740,303388.076000001
2,2023,L102/144,74793.269
10,2022,L740,282168.49
11,2022,L126,52813.107
8,2021,L101,72757.171
6,2019,L144,64720.424
9,2019,L130,73210.5449999999
1,2022,L103,157201.547
8,2022,L122,243530.74
2,2021,L130/146,134934.964
9,2022,L740,276602.320000001
4,2020,L125,32172.438
11,2019,L145,158738.289
5,2022,L140,89129.261
11,2023,L122,105774.885
11,2020,L146,85627.953
5,2021,L103,145665.131
11,2022,L740,280848.73
7,2023,L128,111731.792
7,2019,L740,323749.498
4,2019,L144,65909.114
10,2019,L144,70090.103
4,2020,LIGM,3545.374
9,2023,L130,66534.8870000001
9,2019,L740,304293.079
3,2019,L144,66208.89
3,2023,L740,268927.59
10,2021,L740,259619.060000001
6,2020,L125,33315.665
10,2022,L122,206422.084
3,2023,LI41,327071.12
8,2022,L102/144,99965.751
9,2022,L122,234435.464
3,2022,L130/146,159954.077
3,2020,L144,57497.1
8,2019,L125,73862.2139999999
11,2023,LI41,137566.37
7,2022,L130/146,145203.495
9,2019,L144,69962.959
7,2019,L144,61471.207
11,2022,L101,98432.615
7,2020,L130,4955.086
5,2023,L740,270925.98
3,2022,L740,280687.72
7,2021,L128,73153.261
2,2023,L126,37125.671
2,2022,L128,75258.539
1,2023,L140,91979.1459999999
3,2022,L128,109718.32
6,2021,L143/136/137,147534.794
5,2020,N339,6175.63100000001
10,2020,L144,30410.419
1,2021,L143/136/137,40787.849
2,2023,L140,80911.7380000001
7,2023,L130,64106.233
1,2022,L130/146,121654.078
11,2023,L130,28493.13
10,2022,L140,98696.929
10,2023,L138,96821.39
7,2023,L102/144,98642.2110000001
3,2022,L101,90962.8209999999
5,2020,359V,42214.124
6,2022,L130/146,148474.111
6,2023,L138,89993.869
9,2019,L125,71642.7979999999
12,2020,L128,86850.057
11,2022,L122,230566.561
6,2021,L101,52408.807
12,2022,L740,256711.85
10,2023,L101,91113.0730000001
5,2021,L101,58105.124
2,2020,L125,54984.725
8,2023,L130,69575.715
7,2020,L133,14847.041
6,2020,L101,45835.445
9,2023,L740,267730.08
5,2022,L101,86231.9630000002
1,2023,L122,207561.2
1,2021,L101,53444.151
8,2022,L130/146,158121.317
1,2020,L101,94807.505
3,2022,L102/144,101230.777
7,2021,L101,53753.914
5,2022,L130/146,147941.47
11,2021,L128,106628.261
6,2021,L145/133,181712.988
7,2023,L126,54383.623
8,2022,L126,56591.8500000001
10,2020,L125,33231.8
4,2021,L101,81005.918
4,2020,L144,30832
7,2020,L110,19180.597
9,2020,L101,28202.737
7,2022,L138,89359.8080000001
10,2019,L125,74976.3420000001
4,2022,L130/146,148583.133
6,2022,L122,218796.043
8,2022,L128,108605.298
6,2020,L144,27835.128
1,2023,L128,90261.895
8,2023,L140,114610.821
7,2020,L101,6482.359
6,2020,L130,35199.745
9,2021,L128,103609.011
9,2022,L128,107591.232
5,2020,L101,20201.542
2,2023,L130/146,19533.499
11,2022,L128,104645.625
12,2022,L128,92820.969
12,2021,L128,101991.162
5,2020,L128,30660.893
1,2020,L125,60834.794
6,2022,L140,101122.082
7,2022,L140,101799.628
9,2022,L140,107955.015
1,2023,L138,86259.391
8,2021,L128,97955.172
8,2022,L138,99275.9979999999
5,2022,L128,99017.46
10,2022,L128,98342.0780000001
12,2020,L130,41919.352
2,2023,L128,81565.0089999999
5,2020,L125,10978.602
12,2022,L126,43798.006
7,2020,L145,14684.741
9,2023,L128,115600.146
5,2020,L144,11741.101
8,2020,L144,29039.861
1,2021,L130/146,34293.092
7,2020,L129,7840.71
9,2020,L130,18224.496
6,2022,L138,89603.773
11,2023,L740,104350.06
7,2020,L128,11956.076
4,2023,L740,254535.93
10,2022,L138,85885.622
7,2020,L125,5188.636
7,2022,L126,51362.693
9,2022,L138,96987.118
1,2019,L740,271315.538
10,2023,L740,267577.95
5,2020,L130,12817.747
1,2021,L130,25254.797
10,2022,L126,49158.31
10,2023,L130,64631.762
9,2022,L126,54343.337
7,2020,L102,5318.595
6,2022,L128,104016.479
4,2022,L128,98580.344
6,2022,L126,50566.826
8,2023,L126,60248.7360000001
6,2023,L130,58481.058
4,2023,L130,61208.085
7,2020,L144,3512.951
4,2021,L146,250.02
3,2021,L146,522.721
4,2022,L140,148.455
2,2021,L146,382.851
2,2021,L129,59.77
2,2021,L145,22.918
2,2021,L144,11.038
