Mes,Year,Linea,KM
9,2021,L315,181599.35
1,2023,203I,836080.620000002
12,2020,L339,156551.849
10,2023,203M,964641.520000002
9,2021,L359,186270.074
9,2023,L359,152369.628
11,2021,203M,972540.364
8,2021,203I,984040.029999999
2,2020,203M,845314.069999999
1,2019,L359,268164.037999999
3,2020,203I,903386.029999997
11,2021,L359,197551.073
9,2021,LINA,587625.923000001
3,2020,LINA,597012.333
12,2019,LEXP,454115.983
10,2022,203I,951286.669999999
3,2019,203M,767315.234999997
3,2023,L110,231255.724
3,2021,LINA,518300.013999999
11,2023,203M,405848.34
7,2021,203M,897387.110000001
2,2021,LINA,408769.141000001
2,2022,L339,222845.364
1,2020,203I,912235.52
10,2021,203I,880333.727
12,2022,203I,862828.309999999
10,2023,203I,979651.41
6,2020,L339,82961.0710000001
10,2021,359V,77624.839
3,2023,L146,150767.959
6,2023,L339,234681.336
6,2023,L142,291520.285
7,2023,L339,275776.154
10,2021,L339,273723.733
7,2019,LEXP,498744.696000001
1,2021,L339,202987.941
11,2023,L140,47007.213
2,2020,LINA,583964.520000001
5,2021,203I,932429.280000001
11,2022,203I,959378.850000002
11,2023,L339,87287.828
5,2023,203M,988262.710000003
10,2021,L359,189477.603
4,2022,203I,1031106.6
2,2023,203I,740207.8
11,2021,L339,277278.719
7,2023,203I,930474.940000004
6,2021,203M,830453.490000001
9,2020,203M,799577.439999999
9,2021,203I,962214.710000001
6,2022,203I,1000301.46
5,2020,LINA,320282.563
2,2019,203I,742818.36
5,2019,L130,80807.146
1,2023,L339,259834.757
10,2023,LINA,663285.686
5,2023,203I,953127.680000001
2,2021,L339,180513.69
8,2023,203I,1023086.96
3,2023,L133/125,172945.213
5,2021,203M,924627.499999999
2,2021,203M,725548.699999999
5,2020,203M,799519.290000001
11,2019,LMAV,212886.273
6,2020,LINA,460027.158
5,2019,L359,294769.213
2,2023,L339,223411.694
10,2020,203M,876593.190000001
11,2019,LEXP,460203.075
3,2023,203I,936005.529999999
1,2021,LEXP,244951.066
1,2019,LIGM,68710.288
7,2023,LMAV,166560.847
3,2021,203I,921968.19
7,2020,LINA,451059.482
8,2022,LMAV,177682.187
2,2019,L359,249894.402
10,2023,LEXP,311398.499
4,2021,L339,258410.058
8,2023,LEXP,355175.817
12,2022,L339,259634.445
8,2020,LINA,478785.089
9,2023,LEXP,344481.499999999
5,2021,N339,69961.784
6,2021,L339,175893.334
5,2021,L440,908857.23
6,2023,LMAV,161130.514
6,2023,LEXP,247147.498
9,2019,L359,263036.727
8,2019,LI41,363703.38
5,2021,L339,187546.731
7,2021,L339,197502.361
4,2023,L339,266959.17
9,2022,203I,968566.899999999
3,2021,N339,91284.29
6,2021,N339,91663.037
10,2019,203M,1061587.88
6,2023,203M,925069.29
3,2019,LIGM,70006.1170000002
8,2021,L359,176410.792
9,2022,LEXP,396526.983
12,2020,LINA,449826.533
12,2020,LMAV,115213.845
5,2019,L129,80745.459
4,2019,LIGM,69635.1599999999
3,2023,L122,222562.066
5,2023,LEXP,328469.252
7,2021,LI41,340521.500000001
2,2019,LIGM,68905.807
6,2021,LINA,423896.784
10,2021,LMAV,139833.102
7,2022,LMAV,160409.681
11,2020,LMAV,43261.63
4,2021,N339,91395.865
12,2019,L339,373512.982
2,2019,L107,260422.197
10,2021,L107,187231.85
11,2019,L440,1093624.229
8,2022,203M,1015709.55
8,2020,L142,211457.409
3,2023,L130,61410.855
1,2023,203M,922337.300000001
1,2022,LEXP,311731.117000001
3,2023,L103,247876.795
6,2020,203M,819747.640000002
3,2022,203I,1082050.88
4,2023,203I,887653.140000001
11,2022,LMAV,173451.317
12,2020,203M,838989.070000001
11,2021,359V,54711.815
7,2021,L740,245952.32
8,2019,LMAV,219177.015
7,2021,203I,909669.03
9,2023,LMAV,173545.276
12,2020,LI41,308089.879999999
2,2022,LMAV,118634.191
12,2019,L440,1028223.476
8,2019,L359,286992.494
4,2020,LINA,344398.118000001
3,2021,203M,932060.429999998
3,2022,LMAV,177915.845
7,2021,N339,91995.788
5,2022,LEXP,361070.494
8,2019,L130,79264.192
10,2020,L339,115743.967
6,2022,LMAV,176011.478
11,2019,LIGM,68736.8259999999
4,2023,203M,936542.34
7,2023,LEXP,291321.834999999
2,2021,LMAV,113481.667
9,2019,203I,979918.120000001
2,2022,203M,821788.86
9,2019,LIGM,50226.836
4,2021,203I,894182.810000001
2,2019,203M,600726.363999999
11,2023,203I,414482.26
11,2020,LI41,325974.389999999
3,2020,LIGM,27098.78
1,2020,203M,886749.059999999
4,2019,L130,79452.944
3,2020,L740,235567.67
5,2023,LIGM,88602.562
9,2023,203M,978893.040000002
10,2020,LIGM,100613.06
6,2019,L359,287596.213000001
11,2022,LEXP,391962.222
5,2022,LMAV,175913.481
3,2020,LMAV,176339.745
1,2020,LMAV,204900.727
3,2023,L142,323727.832
2,2021,LEXP,230075.658
12,2021,LEXP,365153.871
8,2021,203M,946008.073999998
8,2023,L145/133,239905.073
4,2022,203M,1043018.22
10,2023,359V,195973.186
6,2020,LI41,334448.06
10,2021,LIGM,112231.35
12,2021,203I,928086.819999998
3,2023,L128,102706.525
11,2023,LMAV,55467.454
4,2023,L142,311065.301
2,2020,L315,185886.428
11,2021,L142,303729.248
8,2023,203M,1012674.72
3,2023,LEXP,399241.920000001
1,2021,LI41,249946.55
10,2022,LMAV,159050.92
1,2021,L740,236197.22
11,2020,LINA,463671.021
6,2022,203M,1042872.36
3,2023,L102/144,105693.762
10,2020,LINA,469041.203
5,2019,LIGM,82071.8890000001
11,2022,203M,982879.149999999
9,2023,359V,169562.089
6,2023,359V,210068.302
3,2020,L440,896683.479000003
12,2021,203M,1002267
1,2021,L440,756980.42
3,2023,LMAV,171122.604
3,2023,L145/133,217240.145
5,2021,L315,231413.02
9,2021,L440,940255.040000001
4,2020,L339,77244.9379999999
9,2021,203M,953672.899999999
11,2020,203M,849704.359999998
3,2023,LIGM,100518.626
12,2022,LMAV,159672.804
