Mes,Year,Linea,LTS
4,2023,L145/133,100978.94
4,2023,L140,49807.67
3,2023,L102/144,54805.19
3,2023,L122,114896.64
3,2023,L101,129204.54
3,2023,L128,54692.82
3,2023,L110,116111.03
1,2023,L110,100540.06
1,2023,L143/136/137,77655.94
12,2022,L143/136/137,81173.34
11,2022,L142,156455.12
11,2022,L103,113184.9
10,2022,L140,46892.12
10,2022,L138,40033.97
10,2022,L110,102304.06
10,2022,L101,40323.52
9,2022,L101,45524.9
9,2022,L140,50914.6
9,2022,L130/146,74056.5299999999
9,2022,L110,118379.16
9,2022,L102/144,50020.38
8,2022,L142,147622.58
8,2022,L107,101711.4
8,2022,L130/146,75126.56
8,2022,L140,52442.5
7,2022,L142,136379.08
7,2022,L110,108846.9
6,2022,L110,107396.83
5,2022,L102/144,46732.46
3,2022,L107,91075.39
2,2022,L107,68773.16
1,2022,L102/144,34138.1
12,2021,L128,52860.39
12,2021,L110,107197.13
11,2021,L142,136047.79
10,2021,L142,130421.66
10,2021,L102/144,52386.04
9,2021,L145/133,101715.99
9,2021,L128,48788.34
8,2021,L133/125,66471.14
8,2021,L128,46470.57
6,2021,L130/146,59475.4
6,2021,L133/125,62279.76
5,2021,L133/125,56264.41
4,2021,L133/125,75501.61
1,2021,L143/136/137,19164.09
1,2021,L129,18347.56
12,2020,L103,83802.8700000001
10,2020,L129,20052.58
9,2020,L129,10065.65
8,2020,L129,18891.22
1,2020,L143,102290.75
12,2019,L145,72468.82
12,2019,L129,41041.04
12,2019,L144,27545.38
12,2019,L130,34769.68
11,2019,L128,73050.33
11,2019,L144,33147.99
10,2019,L144,33361.78
9,2019,L130,36358.92
7,2019,L129,41296.99
3,2019,L143,104335.65
1,2019,LI41,159332.66
7,2023,L130,29410.11
5,2023,L103,101079.34
4,2023,L101,44198.43
12,2022,L145/133,103650.25
11,2022,L130/146,78716.7600000001
10,2022,L142,135649.67
10,2022,L130/146,68171.8
7,2022,L130/146,68303.37
6,2022,L142,135426.86
6,2022,L143/136/137,81999.8300000001
5,2022,L128,49949.37
5,2022,L107,89670.9
5,2022,L130/146,69100.29
4,2022,L143/136/137,80833.33
3,2022,L102/144,50519.41
1,2022,L145/133,87229.03
12,2021,L145/133,109904.62
10,2021,L145/133,105405.88
6,2021,L103,80657.27
6,2021,L128,39390.8
5,2021,L128,35241.04
2,2021,L103,79945.23
2,2021,L143/136/137,75101.37
2,2021,L110,78465.65
1,2021,L110,79103.73
1,2021,L130/146,15030.2
1,2021,L145,39692.26
6,2020,L130,15249.64
3,2020,L130,29516.66
2,2020,L130,30854.16
11,2019,L130,38387.09
11,2019,L143,108903.75
10,2019,L130,37873.36
6,2019,L130,35773.65
1,2021,L146,33952.68
12,2020,L146,44741.32
12,2020,L142,107781.43
11,2020,L146,27645.21
11,2020,L107,38226.19
10,2020,L146,47784.78
9,2020,L146,20301.53
8,2020,L146,37386.89
8,2020,L142,79762.8
7,2020,L142,8611.19
6,2020,L142,76436.2500000001
6,2020,L107,54440.48
6,2020,L146,37339.8400000001
5,2020,L146,12993.01
4,2020,L146,42262.31
3,2020,L146,60717.75
2,2020,L146,67032.5
2,2020,L107,90190.2499999999
1,2020,L146,69065.3199999999
1,2020,L142,149165.11
12,2019,L146,66406.3299999999
12,2019,L102,41768.61
11,2019,L102,45424.53
10,2019,L102,43806.91
9,2019,L102,43321.26
8,2019,L102,45786.42
7,2023,L107,93764.7500000002
6,2023,L103,95119.3
6,2023,L101,41308.85
6,2023,L146,61361.4400000001
5,2023,L101,45094.72
5,2023,L102/144,48364.7
5,2023,L140,50078.14
4,2023,L146,64424.54
4,2023,L142,142077.05
3,2023,L107,100926.85
3,2023,L138,50677.28
11,2022,L140,53478.5
11,2022,L138,47199.6
11,2022,L101,48831.25
11,2022,L126,26295.06
9,2022,L126,25880.43
8,2022,L143/136/137,87847.4699999999
8,2022,L103,102508.24
8,2022,L138,44658.49
6,2022,L128,51848.6
6,2022,L140,50232.02
6,2022,L102/144,47179.81
4,2022,L142,124060.63
2,2022,L130/146,55724.85
12,2021,L130/146,71771.5900000001
11,2021,L130/146,70566.9400000001
9,2021,L101,37572.19
8,2021,L145/133,98426.4899999999
7,2021,L128,41998.19
7,2021,L145/133,90552.3300000001
6,2021,L101,24771.61
1,2021,L130,13821.73
12,2020,L130,18490.29
12,2020,L128,38412.51
11,2020,L130,9346.93999999999
11,2020,L103,49019.41
10,2020,L103,72299.01
8,2020,L130,15588.67
7,2020,L130,1879.9
2,2020,L144,26513.03
11,2023,L143/136/137,36960.41
10,2023,L143/136/137,86138.7399999999
10,2023,L145/133,108265.15
10,2023,L146,67892.81
9,2023,L146,67180.26
9,2023,L143/136/137,87601.6400000001
9,2023,L126,23951.24
9,2023,L145/133,108102.78
8,2023,L145/133,113727.18
8,2023,L107,100347.37
8,2023,L142,153107.66
8,2023,L146,70208.6400000001
8,2023,L126,26451.12
8,2023,L122,112394.03
7,2023,L126,23874.97
7,2023,L122,106894.98
7,2023,L138,42572
7,2023,L140,48152.82
7,2023,L145/133,105146.04
6,2023,L145/133,95602.01
6,2023,L126,21603.54
5,2023,L122,108500.07
5,2023,L138,46629.26
4,2023,L128,50335.57
12,2022,L140,49792.59
12,2022,L138,42270.49
11,2022,L122,113667.47
10,2022,L102/144,44709.91
10,2022,L103,96828.36
9,2022,L128,52958.58
8,2022,L101,46131.7200000001
7,2022,L143/136/137,81458.01
7,2022,L102/144,45331.47
7,2022,L138,41585.72
4,2022,L103,95588.4300000001
3,2022,L103,103616.72
10,2021,L128,51598.2800000001
3,2021,L145/133,99447.3300000001
1,2021,L144,9907.92
10,2020,L145,41385.48
10,2020,L144,12031.83
9,2020,L144,5806.39
3,2020,L128,56621.22
2,2019,203M,294000.62
1,2019,203M,321590.07
9,2023,L103,101880.74
3,2023,L103,113679.92
2,2023,L142,124729.96
2,2023,L103,89080.73
2,2023,L130/146,10007.97
12,2022,L128,50082.96
12,2022,L107,100311.67
4,2022,L107,88438.6900000001
12,2021,L103,104810.37
11,2021,L103,103726.79
7,2021,L103,88832.7200000001
5,2021,L102/144,32444.95
5,2021,L130/146,51770.92
1,2021,L102/144,8304.69
5,2020,L144,3859.46
1,2020,L144,23588.87
7,2019,L128,60677.65
1,2019,L130,34686.93
9,2022,L122,109155.34
7,2022,L122,102129.84
7,2022,L107,91098.9300000001
5,2022,L138,32335.09
12,2021,L142,140905.76
12,2020,L143,77096.2200000001
3,2020,L129,32903.33
1,2020,L101,46378.89
7,2019,L143,97551.0199999999
10,2023,L122,114359.27
9,2023,L142,155984.74
8,2023,L130,32326.19
8,2023,L140,51117.96
8,2023,L102/144,51253.23
7,2023,L102/144,46595.19
2,2023,L130,22049.22
2,2023,L126,17772.8
10,2022,L128,47862.79
6,2022,L138,42386.37
3,2022,L110,110739.77
4,2021,L101,34156.55
3,2021,L101,34595.01
9,2020,L145,17284.08
8,2020,L145,36110.9000000001
1,2020,L129,39645.79
12,2019,L143,107168.77
12,2019,L110,104212.48
10,2019,L143,106519.06
11,2023,L146,29557.76
11,2023,L102/144,22330.01
11,2023,L145/133,48444.68
11,2023,L140,21665.58
10,2023,L140,48946.1
10,2023,L130,30983.49
10,2023,L107,99762.1000000001
10,2023,L128,54135.96
2,2023,L110,88966.3
1,2023,L142,136696.5
1,2023,L101,39273.12
12,2022,L101,43529.38
12,2022,L110,109660.55
5,2022,L110,101755.46
4,2022,L110,99923.5500000001
3,2022,L101,42569.01
2,2022,L110,81598.2
12,2021,L101,37013.51
11,2021,L110,108836.3
11,2021,L101,38604.73
10,2021,L101,36295.53
4,2021,L110,86813.3400000001
12,2020,L110,78671.74
11,2020,L110,44730.24
6,2020,L110,51275.56
5,2020,L110,15347.57
5,2020,L101,6942.36
4,2020,L101,19803.24
3,2020,L101,40808.46
3,2020,L110,86135.9100000002
3,2020,L143,88098.81
2,2020,L101,40906.18
12,2019,L101,49915.2100000001
11,2019,L101,57166.6399999999
10,2019,L101,57714.5500000001
9,2019,L101,58473.7400000001
9,2019,L129,41545.28
8,2019,L129,44059.06
8,2019,L133,87711.64
8,2019,L101,61978.71
8,2019,L110,121152.59
7,2019,L110,115572.18
7,2019,L101,56081.2300000001
2,2019,L142,119716.42
1,2019,L102,45903.49
1,2019,L142,133580.28
6,2021,L107,68550.0400000001
5,2021,L107,57689.12
4,2021,L107,81207.0199999999
4,2021,L145/133,94254.9
3,2021,L107,86279.5899999999
2,2021,L107,70288.27
1,2021,L107,67953.1000000001
12,2020,L107,66244.07
10,2020,L107,57628.89
9,2020,L107,24560.02
8,2020,L107,51285.5300000001
7,2020,L107,7552.98
5,2020,L107,16460.21
4,2020,L107,50494.06
3,2020,L107,77830.9
1,2020,L107,92102.5800000001
12,2019,L107,96448.64
11,2019,L107,99164.4199999998
11,2019,L146,68745.7899999999
10,2019,L107,99523.56
10,2019,L142,159344.6
9,2019,L107,100666.54
9,2019,L142,152817.07
8,2019,L142,156427.08
8,2019,L146,72105.2400000001
8,2019,L107,105204.67
7,2019,L142,150840.75
1,2019,L103,98347.33
10,2023,L142,154413.62
9,2023,L122,111600.34
8,2023,L143/136/137,88781.7199999999
7,2023,L142,143394.22
7,2023,L143/136/137,83669.93
6,2023,L102/144,44336.84
6,2023,L128,47543.36
3,2023,L133/125,77346.93
2,2023,L140,40827.8199999999
2,2023,L138,40712.85
12,2022,L133/125,69854.8899999999
5,2022,L142,131015.84
1,2022,L133/125,54524.31
1,2022,L107,67915.19
1,2022,L142,112111.02
1,2022,L130/146,59021.12
1,2022,L110,89453.02
10,2021,L110,100102.33
9,2021,L110,103424.09
8,2021,L110,95096.2000000001
5,2021,L103,63494.99
4,2021,L103,90583.05
1,2021,L133,37768.31
11,2020,L129,13519.18
10,2020,L110,68975.1
10,2020,L143,65654.47
9,2020,L110,25524.17
8,2020,L110,58241.09
7,2020,L110,6967.92
2,2020,L110,88467.17
1,2020,L110,99860.81
11,2019,L133,92254.17
11,2019,L103,102493.65
11,2019,L129,41568.72
11,2019,L110,109763.47
10,2019,L110,116076.87
10,2019,L133,91496.7400000001
8,2019,L143,108091.78
6,2019,L143,99303.14
6,2019,L101,54787.11
5,2019,L101,57587.06
4,2019,L101,58066.0499999999
3,2019,L101,55393.42
11,2023,L128,23392.67
11,2023,L142,69657.9400000001
10,2023,L110,112368.8
9,2023,L107,98783.8000000001
7,2023,L146,67523.17
4,2023,L103,103756.79
2,2022,L142,107339.51
2,2021,L145/133,82277.3799999999
1,2021,L145/133,18603.03
8,2020,L128,35474.03
7,2020,L128,3058.73
1,2020,L130,34615.72
9,2019,L143,98783.4900000001
3,2019,L130,36387.84
3,2019,L103,91812.6700000001
11,2023,L138,18762.22
10,2023,L102/144,49536.12
9,2023,L128,53194.12
8,2023,L103,103770.16
7,2023,L110,108795.98
4,2023,L138,45303.57
1,2023,L140,47942.55
1,2023,L145/133,99755.53
7,2022,L103,96600.26
5,2022,L101,40149.66
8,2021,L101,32500.55
6,2021,L110,76377.9299999999
5,2021,L110,60112.05
3,2021,L110,95984.69
10,2020,L102,14807.27
7,2020,L102,825.36
4,2020,L102,14290.44
4,2020,L110,46550.44
12,2019,L133,90712.6899999998
10,2019,L103,105818.52
9,2019,L110,114946.61
6,2019,L110,110217.5
5,2019,L110,115916.12
5,2019,L129,40083.59
4,2019,L129,39389.69
4,2019,L110,114606.59
10,2023,L103,102031.72
10,2023,L138,44569.09
9,2023,L138,43722.61
9,2023,L130,30973.18
9,2023,L102/144,48887.91
8,2023,L128,54647.26
7,2023,L133/125,68341.01
7,2023,L101,42217.88
2,2023,L145/133,87178.6599999999
1,2023,L128,47222.61
6,2022,L122,99727.3900000001
2,2022,L128,37291.49
1,2021,L128,37836
12,2020,L133,54386.65
2,2019,L129,30740.52
3,2020,L142,127149.37
2,2020,L142,134976.28
12,2019,L142,158510.28
11,2019,L142,159872.8
9,2019,L146,68042.7300000001
6,2019,L142,152229.84
5,2019,L142,149600.29
3,2019,L142,154344.16
1,2019,L143,93269.47
11,2023,L122,51387.77
2,2023,L128,41851.18
1,2023,L103,104022.11
11,2021,L128,52610.29
3,2021,L130,178.22
6,2020,L101,17593.11
6,2020,L103,52450.28
1,2019,L145,70297.97
12,2022,L122,110890.88
10,2022,L126,23387.53
7,2022,L140,47499.11
2,2021,L128,39496.94
10,2019,L129,42701.06
6,2019,L129,41381.51
5,2020,L142,28850.31
4,2020,L142,85966.31
11,2023,L339,32032.46
10,2023,L339,105722.84
9,2023,L339,100454.37
8,2023,L339,101651.57
7,2023,L339,97131.6799999999
6,2023,L339,84944.88
5,2023,L339,98626.34
4,2023,L339,95500.67
3,2023,L339,107543.78
2,2023,L339,84527.12
1,2023,L339,98544.57
12,2022,L339,101092
11,2022,L339,105945.71
10,2022,L339,102428.01
9,2022,L339,109460.94
8,2022,L339,114606.03
7,2022,L339,103657.54
6,2022,L339,106780.69
5,2022,L339,105366.27
4,2022,L339,103267.67
3,2022,L339,113763.46
2,2022,L339,81249.8100000001
1,2022,L339,87674.79
12,2021,L339,99989.88
11,2021,L339,98087
10,2021,L339,89685.78
9,2021,L339,89852.89
8,2021,L339,80001.25
7,2021,L339,67548.1399999999
6,2021,L339,59492.86
5,2021,L339,58657.4200000001
4,2021,L339,85709.2199999999
3,2021,L339,85121.6
2,2021,L339,62787.75
1,2021,L339,70107.7299999999
12,2020,L339,54911.85
11,2020,L339,15802.23
4,2020,L339,23093.35
3,2020,L339,103856.16
2,2020,L339,115356.58
1,2020,L339,125809.68
12,2019,L339,129659.95
11,2019,L339,122854.89
10,2019,L339,133227.76
9,2019,L339,124787.47
8,2019,L339,129513.69
7,2019,L339,123977.94
6,2019,L339,120418.84
5,2019,L339,127440.69
4,2019,L339,128641.25
3,2019,L339,136915.23
2,2019,L339,102427.2
