Mes,Year,des_lin,Cantidad_Pasajeros
10,2022,103,533468
10,2022,41,1034060
10,2022,110,553806
10,2022,102/144,228972
10,2022,143/136/137,364209
10,2022,145/133,513403
10,2022,133/125,262408
10,2022,130/146,314250
10,2022,126,107447
10,2022,138/139,218989
10,2022,140,236222
10,2022,128,274119
10,2022,35/9,266793
10,2022,142,623744
10,2022,101,210311
10,2022,122,575833
10,2022,FABRICA,17550
11,2022,107,537993
11,2022,315,721159
11,2022,440,2957666
11,2022,740,1027917
11,2022,PILAR 203,1428800
11,2022,EXPRESO,729759
11,2022,CP25 A,100545
11,2022,LINEA A,417779
11,2022,CP33/9,232545
11,2022,MORENO 203,1969980
11,2022,CN33/9,44937
11,2022,FABRICA,21560
11,2022,103,592424
11,2022,41,1048039
11,2022,110,618809
11,2022,102/144,256086
11,2022,143/136/137,403028
11,2022,145/133,572690
11,2022,133/125,287077
11,2022,130/146,341320
11,2022,126,122980
11,2022,138/139,240113
11,2022,140,268418
11,2022,128,308969
11,2022,35/9,287049
11,2022,142,687871
11,2022,101,230645
11,2022,122,643275
12,2022,107,482584
12,2022,315,653810
12,2022,440,2601280
12,2022,740,915790
12,2022,PILAR 203,1294098
12,2022,EXPRESO,638042
12,2022,CP25 A,87840
12,2022,LINEA A,384971
12,2022,CP33/9,197857
12,2022,MORENO 203,1808943
12,2022,CN33/9,42702
12,2022,FABRICA,14861
12,2022,103,528965
12,2022,41,936853
12,2022,110,534244
12,2022,102/144,194591
12,2022,143/136/137,345193
12,2022,145/133,469108
12,2022,133/125,250721
12,2022,130/146,294970
12,2022,126,96165
12,2022,138/139,202999
12,2022,140,233517
12,2022,128,260442
12,2022,35/9,250648
12,2022,142,608435
12,2022,101,180445
12,2022,122,569567
1,2023,107,428077
1,2023,315,557782
1,2023,440,2259765
1,2023,740,802056
1,2023,PILAR 203,1240269
1,2023,CP25 A,80803
1,2023,LINEA A,358213
1,2023,CP33/9,180127
1,2023,MORENO 203,1738182
1,2023,CN33/9,38406
1,2023,103,461987
1,2023,41,820862
1,2023,110,468305
1,2023,102/144,161416
1,2023,143/136/137,292970
1,2023,145/133,408881
1,2023,133/125,214161
1,2023,130/146,247506
1,2023,126,76233
1,2023,138/139,186379
1,2023,140,200731
1,2023,128,223879
1,2023,35/9,209608
1,2023,142,532449
1,2023,101,146451
1,2023,122,489289
1,2023,EXPRESO,587232
1,2023,FABRICA,13546
2,2023,107,424769
2,2023,315,534605
2,2023,440,2189066
2,2023,740,774751
2,2023,PILAR 203,1157231
2,2023,EXPRESO,605076
2,2023,CP25 A,83765
2,2023,LINEA A,367212
2,2023,CP33/9,188142
2,2023,MORENO 203,1642792
2,2023,CN33/9,41490
2,2023,FABRICA,17918
2,2023,103,461835
2,2023,41,808826
2,2023,110,458065
2,2023,102/144,167729
2,2023,143/136/137,296930
2,2023,145/133,404823
2,2023,133/125,217708
2,2023,130/146,42325
2,2023,126,78153
2,2023,138/139,186238
2,2023,140,200819
2,2023,128,220043
2,2023,35/9,219193
2,2023,142,537349
2,2023,101,156217
2,2023,122,467002
2,2023,146,167665
2,2023,130,94856
3,2023,107,540326
3,2023,315,715828
3,2023,440,2995875
3,2023,740,1051754
3,2023,PILAR 203,1312752
3,2023,EXPRESO,773385
3,2023,CP25 A,109358
3,2023,LINEA A,455345
3,2023,CP33/9,240010
3,2023,MORENO 203,2005630
3,2023,CN33/9,48154
3,2023,FABRICA,24765
3,2023,103,620448
3,2023,41,1096035
3,2023,110,610098
3,2023,102/144,256494
3,2023,143/136/137,405630
3,2023,145/133,551906
3,2023,133/125,295259
3,2023,126,116789
3,2023,138/139,249330
3,2023,140,266135
3,2023,128,304623
3,2023,35/9,283860
3,2023,146,282660
3,2023,142,702551
3,2023,101,240964
3,2023,130,167453
3,2023,122,625759
4,2023,107,563801
4,2023,315,702385
4,2023,440,2834713
4,2023,740,992050
4,2023,PILAR 203,1309531
4,2023,EXPRESO,804183
4,2023,CP25 A,115399
4,2023,LINEA A,471898
4,2023,CP33/9,251582
4,2023,MORENO 203,1892655
4,2023,CN33/9,50069
4,2023,FABRICA,21231
4,2023,103,635645
4,2023,41,1064115
4,2023,110,615436
4,2023,102/144,263807
4,2023,143/136/137,415070
4,2023,145/133,569095
4,2023,133/125,296372
4,2023,126,118409
4,2023,138/139,258797
4,2023,140,270331
4,2023,128,308387
4,2023,35/9,269516
4,2023,146,301226
4,2023,142,715932
4,2023,101,247210
4,2023,130,173361
4,2023,122,636323
5,2023,107,590207
5,2023,315,689038
5,2023,440,2836669
5,2023,740,999853
5,2023,PILAR 203,1346363
5,2023,EXPRESO,876414
5,2023,CP25 A,120478
5,2023,LINEA A,476179
5,2023,CP33/9,259097
5,2023,MORENO 203,1964785
5,2023,CN33/9,51119
5,2023,103,666680
5,2023,41,1112797
5,2023,110,643886
5,2023,102/144,281915
5,2023,143/136/137,439161
5,2023,145/133,602271
5,2023,133/125,322169
5,2023,126,129811
5,2023,138/139,277224
5,2023,140,289704
5,2023,128,331171
5,2023,35/9,232181
5,2023,146,329911
5,2023,142,759576
5,2023,101,268392
5,2023,130,187401
5,2023,122,683661
5,2023,FABRICA,21984
6,2023,107,528203
6,2023,315,698748
6,2023,440,2875580
6,2023,740,1012206
6,2023,PILAR 203,1328254
6,2023,EXPRESO,807465
6,2023,CP25 A,111340
6,2023,LINEA A,463567
6,2023,CP33/9,237793
6,2023,MORENO 203,1907054
6,2023,CN33/9,46547
6,2023,FABRICA,20453
6,2023,103,605673
6,2023,41,1072957
6,2023,110,580919
6,2023,102/144,257013
6,2023,143/136/137,398889
6,2023,145/133,536940
6,2023,133/125,291364
6,2023,126,117931
6,2023,138/139,252590
6,2023,140,260642
6,2023,128,299185
6,2023,35/9,210256
6,2023,146,306606
6,2023,142,705488
6,2023,101,241711
6,2023,130,172105
6,2023,122,611179
7,2023,107,533375
7,2023,315,660881
7,2023,440,2644533
7,2023,740,934076
7,2023,PILAR 203,1302204
7,2023,EXPRESO,811786
7,2023,CP25 A,108750
7,2023,LINEA A,461990
7,2023,CP33/9,225983
7,2023,MORENO 203,1806326
7,2023,CN33/9,47483
7,2023,103,616913
7,2023,41,1003331
7,2023,110,590268
7,2023,102/144,233574
7,2023,143/136/137,395281
7,2023,145/133,537689
7,2023,133/125,293003
7,2023,126,110424
7,2023,138/139,239933
7,2023,140,265386
7,2023,128,293150
7,2023,35/9,206687
7,2023,146,301449
7,2023,142,699008
7,2023,101,214384
7,2023,130,169125
7,2023,122,605954
7,2023,FABRICA,18172
8,2023,107,613256
8,2023,315,723881
8,2023,440,3047776
8,2023,740,1053219
8,2023,PILAR 203,1420243
8,2023,EXPRESO,929238
8,2023,CP25 A,122066
8,2023,LINEA A,503746
8,2023,CP33/9,268687
8,2023,MORENO 203,1984780
8,2023,CN33/9,54720
8,2023,FABRICA,24768
8,2023,103,690706
8,2023,41,1103070
8,2023,110,678876
8,2023,102/144,284113
8,2023,143/136/137,457591
8,2023,145/133,627480
8,2023,133/125,332088
8,2023,126,139139
8,2023,138/139,276931
8,2023,140,310864
8,2023,128,332381
8,2023,35/9,245338
8,2023,146,347460
8,2023,142,798435
8,2023,101,265079
8,2023,130,199715
8,2023,122,698474
9,2023,107,603867
9,2023,315,712713
9,2023,440,3017209
9,2023,740,1023137
9,2023,PILAR 203,1398593
9,2023,EXPRESO,940370
9,2023,CP25 A,122882
9,2023,LINEA A,496955
9,2023,CP33/9,267908
9,2023,MORENO 203,1968143
9,2023,CN33/9,56404
9,2023,FABRICA,23297
9,2023,103,680247
9,2023,41,1082000
9,2023,110,668051
9,2023,102/144,283820
9,2023,143/136/137,453940
9,2023,145/133,613116
9,2023,133/125,327323
9,2023,126,133020
9,2023,138/139,268459
9,2023,140,307827
9,2023,128,330869
9,2023,35/9,221352
9,2023,146,343451
9,2023,142,805061
9,2023,101,271664
9,2023,130,196326
9,2023,122,705504
10,2023,107,602500
10,2023,315,731550
10,2023,440,3046047
10,2023,740,1029597
10,2023,PILAR 203,1381670
10,2023,EXPRESO,949447
10,2023,CP25 A,102581
10,2023,LINEA A,495937
10,2023,CP33/9,267895
10,2023,MORENO 203,1946751
10,2023,CN33/9,56161
10,2023,102/144,282332
10,2023,146,347099
10,2023,103,675678
10,2023,110,655376
10,2023,143/136/137,455381
10,2023,145/133,605484
10,2023,133/125,324013
10,2023,126,133820
10,2023,138/139,264488
10,2023,140,301755
10,2023,128,331322
10,2023,142,788014
10,2023,101,265896
10,2023,35/9,186858
10,2023,41,1038193
10,2023,130,195897
10,2023,122,707178
10,2023,FABRICA,8769
11,2023,107,329624
11,2023,315,395732
11,2023,440,1703913
11,2023,740,574667
11,2023,PILAR 203,770483
11,2023,EXPRESO,519048
11,2023,CP25 A,53808
11,2023,LINEA A,267094
11,2023,CP33/9,82960
11,2023,MORENO 203,1103855
11,2023,CN33/9,31492
11,2023,FABRICA,14109
11,2023,103,381843
11,2023,110,383826
11,2023,102/144,158705
11,2023,143/136/137,254746
11,2023,145/133,345406
11,2023,133/125,180864
11,2023,126,77436
11,2023,138/139,147278
11,2023,140,173788
11,2023,128,186054
11,2023,146,192377
11,2023,142,449592
11,2023,101,153010
11,2023,35/9,100839
11,2023,41,611345
11,2023,130,112442
11,2023,122,401731
11,2023,33/9,63651
