Semana,Linea,LTS
2019-12-01,L102,9923.41
2019-11-24,L102,10417.29
2019-11-17,L102,10324.29
2019-11-10,L102,11151.5
2019-11-03,L102,10688.13
2019-10-27,L102,10604.01
2019-10-20,L102,11164.19
2019-10-13,L102,8784.01
2019-10-06,L102,8625.12
2019-09-29,L102,10024.29
2019-09-22,L102,10481.32
2019-09-15,L102,9517.5
2019-09-08,L102,10149.68
2019-09-01,L102,10621.37
2019-08-25,L102,11164.8
2019-08-18,L102,10074.54
2019-08-11,L102,10227.78
2019-08-04,L102,10248.68
2019-07-28,L102,9658.18
2019-07-21,L102,10529.09
2023-07-02,L107,22497.05
2023-06-25,L107,22755.03
2023-06-18,L103,16136.51
2023-06-11,L142,29723.91
2023-06-11,L101,8939.76
2023-06-11,L146,13234.69
2023-06-04,L146,16232.74
2023-06-04,L143/136/137,19671.75
2023-05-28,L101,11132.37
2023-05-28,L102/144,11618.96
2023-05-28,L140,11985.84
2023-04-23,L146,16592.02
2023-04-16,L142,36005.3
2023-04-16,L126,5654.88
2023-04-02,L107,19737.7
2023-04-02,L126,5079.77
2023-03-26,L107,21733.72
2023-03-19,L107,21055.21
2023-03-12,L140,14055.46
2023-03-05,L138,11202.34
2023-02-26,L138,10979.35
2023-01-22,L130/146,14732.58
2023-01-15,L130/146,15000.13
2022-12-25,L142,30303.41
2022-12-11,L130/146,16990.99
2022-12-04,L130/146,16031.86
2022-11-27,L128,13164.72
2022-11-13,L140,12993.48
2022-11-13,L138,11448.2
2022-11-06,L138,10656.85
2022-11-06,L101,11465.62
2022-10-30,L126,6104.98
2022-10-30,L145/133,25385.69
2022-10-30,L138,10572.03
2022-10-30,L140,12432.76
2022-10-09,L143/136/137,11271.11
2022-09-25,L145/133,26106.08
2022-09-18,L103,24799.84
2022-09-18,L126,5798.38
2022-09-11,L126,6513.03
2022-09-11,L145/133,27807.09
2022-08-28,L102/144,10026.94
2022-08-28,L143/136/137,17726.29
2022-08-21,L143/136/137,19866.21
2022-08-21,L103,21651.95
2022-08-21,L142,33642.38
2022-08-14,L102/144,10239.11
2022-08-07,L138,11012.18
2022-07-31,L138,10391.77
2022-07-17,L128,10844.45
2022-07-10,L128,10852.27
2022-07-03,L128,12273.85
2022-06-26,L128,12449.29
2022-06-26,L140,11976.16
2022-06-05,L102/144,11576.6
2022-05-22,L143/136/137,17909.98
2022-05-15,L143/136/137,13519.8
2022-04-24,L102/144,9432.24
2022-04-17,L142,30567.25
2022-04-17,L143/136/137,19780.03
2022-03-13,L130/146,17574.68
2022-03-06,L130/146,17618.44
2022-02-27,L130/146,14703.54
2021-12-12,L130/146,17713.27
2021-11-14,L130/146,17769.64
2021-11-07,L130/146,17471.72
2021-09-19,L103,21975.76
2021-09-19,L102/144,11521.25
2021-09-12,L101,8980.13
2021-09-05,L101,8542.76
2021-09-05,L130/146,17039.63
2021-08-22,L145/133,23546.81
2021-08-15,L102/144,8757.18
2021-08-08,L102/144,9490.45
2021-07-25,L128,10613.73
2021-07-25,L145/133,21535.76
2021-07-18,L145/133,20752.81
2021-07-11,L145/133,20365.5
2021-07-04,L145/133,19129.15
2021-06-20,L101,5556.85
2021-06-13,L128,9997.69
2021-06-06,L145/133,20638.74
2021-05-30,L145/133,19824.76
2021-05-09,L145/133,18564.04
2021-04-11,L128,12116.81
2021-04-04,L128,12686.29
2021-03-21,L102/144,9969.41
2021-02-28,L143/136/137,20555.68
2021-01-17,L143,19698.3
2021-01-10,L130,3956.79
2021-01-03,L130,4109.85
2020-12-27,L130,4284.95
2020-12-20,L130,4258.04
2020-12-13,L130,5028.48
2020-12-13,L128,9341.45
2020-12-06,L128,7902.43
2020-12-06,L130,3443.29
2020-11-29,L130,3773.86
2020-11-22,L130,3420.66
2020-11-08,L130,1426.65
2020-11-01,L130,3552.21
2020-11-01,L103,18588.68
2020-10-25,L103,17386.46
2020-08-16,L130,3563.08
2020-08-09,L130,4704.91
2020-08-02,L130,4300.94
2020-07-26,L130,1261.81
2020-06-28,L130,2937.65
2020-06-21,L130,3398.32
2020-06-14,L144,2651.5
2020-02-23,L144,5344.53
2020-02-16,L144,6801.12
2020-02-09,L144,7553.79
2019-12-29,L144,4263.71
2019-12-22,L144,4652.82
2019-12-08,L144,7262.75
2019-12-01,L144,6603.7
2019-11-24,L144,7443.93
2023-10-29,L143/136/137,19192.96
2023-10-22,L145/133,25339.84
2023-10-22,L143/136/137,20460.25
2023-10-15,L143/136/137,18912.69
2023-10-08,L143/136/137,18964.41
2023-10-08,L146,15127.25
2023-10-01,L146,16338.44
2023-09-17,L146,15767.11
2023-09-17,L143/136/137,20112.06
2023-09-17,L126,5744.97
2023-09-10,L126,5835.27
2023-09-10,L145/133,24958.03
2023-09-03,L145/133,25531.95
2023-08-27,L145/133,25496.08
2023-08-20,L107,21610.73
2023-08-20,L145/133,23074.66
2023-08-13,L145/133,26086.58
2023-08-06,L145/133,25717.49
2023-08-06,L142,34827.47
2023-08-06,L146,16230.31
2023-07-30,L126,6373.09
2023-07-30,L122,26211.09
2023-07-09,L126,5677.81
2023-07-09,L122,26604.35
2023-07-09,L138,10656.88
2023-07-02,L126,5849.54
2023-07-02,L140,12037.09
2023-07-02,L122,26432.97
2023-07-02,L145/133,25714.42
2023-06-25,L145/133,25547.26
2023-06-18,L145/133,16027.7
2023-06-11,L126,4483.72
2023-06-04,L145/133,24948.35
2023-05-28,L145/133,25894.22
2023-05-21,L143/136/137,16847.98
2023-05-21,L122,20290.58
2023-05-21,L138,9028.18
2023-05-14,L138,10911.95
2023-04-09,L128,12240.82
2023-03-26,L146,15914.4
2023-03-19,L145/133,21511.84
2023-03-19,L140,10491.77
2023-03-19,L102/144,10172.69
2023-03-19,L101,22809.09
2022-12-04,L140,10746.5
2022-11-27,L138,11393.5
2022-11-20,L122,22872.59
2022-11-20,L102/144,10879.38
2022-11-06,L145/133,26012.12
2022-10-23,L130/146,18976.09
2022-10-23,L102/144,12333.42
2022-10-16,L103,25315.34
2022-10-02,L142,32046.66
2022-09-25,L142,34378.87
2022-09-18,L107,22769.98
2022-09-18,L128,11982.87
2022-09-11,L128,12847.31
2022-08-14,L101,9246.99
2022-08-14,L110,23829.75
2022-08-07,L110,26599.52
2022-08-07,L143/136/137,20352.91
2022-07-31,L143/136/137,19495.77
2022-07-24,L143/136/137,20294.37
2022-07-24,L102/144,11541.57
2022-07-17,L102/144,9874.26
2022-07-10,L102/144,9547.39
2022-07-03,L102/144,10600.38
2022-07-03,L138,9657.51999999999
2022-04-17,L102/144,11504.08
2022-04-03,L103,24207.31
2022-03-06,L103,23304.16
2022-02-27,L102/144,9376.16000000001
2022-01-23,L102/144,8019.38
2022-01-09,L102/144,7486.42
2022-01-02,L102/144,7986.04
2021-12-26,L102/144,7613.25
2021-11-28,L143/136/137,19776.7
2021-11-28,L130/146,16949.03
2021-11-21,L130/146,13655.01
2021-11-14,L143/136/137,18564.7
2021-10-24,L128,11750.12
2021-10-03,L145/133,22674.44
2021-09-19,L145/133,24466.77
2021-08-15,L145/133,20539.84
2021-08-01,L143/136/137,17590.98
2021-07-18,L128,9600.64
2021-07-11,L128,9617.77
2021-07-04,L128,8152.4
2021-06-06,L130/146,15056.18
2021-03-14,L145/133,21682.29
2021-03-07,L103,23598.66
2021-01-17,L144,2954.73
2021-01-10,L144,2559.68
2021-01-03,L144,2779.3
2020-12-27,L144,3066.18
2020-12-06,L144,2661.58
2020-11-29,L144,2702.04
2020-10-25,L145,8721.2
2020-10-25,L144,2782.2
2020-10-11,L144,2529.35
2020-10-04,L144,2735.53
2020-09-27,L144,2665.01
2020-09-20,L144,1991.68
2020-09-13,L144,2417.86
2020-08-23,L144,1663.77
2020-03-01,L128,17865.75
2019-06-23,203M,91012.7499999999
2019-06-16,L125,6801.34
2019-06-02,203M,97398.9
2019-05-26,203M,77350.3899999999
2019-05-19,203M,88423.45
2019-03-31,203M,86114.38
2019-03-17,L125,8395.84
2019-03-10,203M,83174.9900000001
2019-03-03,203M,77858.37
2019-02-24,203M,75556.1599999999
2019-01-27,203M,80069.1399999999
2019-01-20,203M,75180.41
2019-01-13,203M,68910.35
2019-01-06,203M,74068.48
2023-09-03,L103,23909.56
2023-04-16,L146,16005.54
2023-04-09,L143/136/137,20472.89
2023-04-09,L142,35888.04
2023-04-09,L145/133,26204.63
2023-04-09,L146,14889.23
2023-04-02,L146,13990.8
2023-04-02,L128,10580.17
2023-03-26,L128,13327.78
2023-03-26,L103,25551.42
2023-03-12,L143/136/137,21496.03
2023-03-12,L103,27139.63
2023-03-05,L103,26264.91
2023-03-05,L143/136/137,20430.85
2023-02-26,L142,35521.38
2023-02-19,L142,26128.14
2023-02-19,L133/125,12167.23
2023-02-12,L133/125,15291.97
2023-02-12,L103,21354.94
2023-02-05,L130/146,1713.65
2023-01-01,L110,22125.85
2022-12-11,L128,12363.68
2022-12-04,L107,21715.08
2022-11-27,L107,25021.77
2022-10-02,L138,9765.69
2022-10-02,L140,11257.07
2022-09-11,L140,12321.82
2022-09-04,L133/125,17382.72
2022-07-31,L110,26303.6
2022-07-31,L107,22329.64
2022-05-08,L128,12403.88
2022-05-01,L128,12464.83
2022-05-01,L102/144,11425.88
2022-04-17,L107,22978.39
2022-04-10,L107,18873.67
2022-03-06,L102/144,11954.66
2021-12-05,L103,22779.11
2021-11-07,L103,24584.79
2021-10-10,L103,20534.34
2021-07-25,L103,21102.65
2021-05-16,L102/144,6137.78
2021-05-09,L102/144,9608.53
2021-05-02,L102/144,10359.47
2021-05-02,L130/146,16595.55
2021-04-18,L102/144,10623.46
2021-02-21,L102/144,9427.79
2021-01-31,L102/144,7697.48
2021-01-24,L102/144,7486.55
2021-01-24,L144,466.43
2020-12-20,L144,2920.55
2020-10-18,L144,2716.59
2020-06-28,L144,2133.7
2020-06-07,L144,2649.29
2020-05-03,L144,2853.74
2020-03-22,L144,2383.18
2020-02-02,L144,6172.67
2020-01-26,L144,4835.37
2020-01-19,L144,5952.12
2020-01-12,L144,4953.35
2020-01-05,L144,5819.11
2019-07-28,L128,14803.46
2019-01-27,L130,7773.34
2023-04-23,L122,26358.29
2023-03-26,L126,5717.18
2023-03-12,L107,23706.69
2023-03-05,L122,24851.91
2023-02-26,L102/144,12866.9
2023-02-19,L102/144,8467.97
2023-02-19,L146,12241.51
2023-02-12,L146,13621.98
2023-01-29,L130/146,14374.21
2023-01-08,L107,21372.55
2023-01-01,L107,21028.84
2022-11-27,L102/144,12619.29
2022-10-16,L122,25109.79
2022-09-18,L140,11556.62
2022-09-11,L122,25337.57
2022-09-04,L122,24748.02
2022-08-14,L122,23289.91
2022-07-24,L122,24940.25
2022-07-10,L107,19887.47
2022-07-03,L107,21180.75
2022-05-29,L130/146,16854.61
2022-05-29,L138,10291.28
2022-05-22,L130/146,14607.64
2022-04-24,L130/146,15273.34
2022-04-17,L130/146,17867.4
2022-03-20,L102/144,10343.56
2022-02-20,L143/136/137,17356.12
2021-12-12,L142,33672.75
2021-12-05,L130/146,15784.05
2021-10-31,L130/146,15999.96
2021-10-31,L103,24789.67
2021-08-29,L145/133,22849.01
2021-02-21,L110,22693.31
2020-12-06,L143,16401.28
2020-11-29,L145,10960.49
2020-03-08,L129,9865.91
2020-01-05,L101,10211.01
2019-11-03,L128,17939.91
2019-10-27,L128,16251.06
2019-07-28,L143,23518.74
2023-10-15,L122,24254.17
2023-10-08,L122,24153.23
2023-10-01,L122,27311.09
2023-09-10,L146,15599.16
2023-09-03,L146,15715.42
2023-09-03,L142,37270.79
2023-08-27,L142,34648.69
2023-08-20,L130,6429.74
2023-08-13,L130,7351.39
2023-08-13,L140,11682.33
2023-08-06,L140,11609.79
2023-08-06,L126,6252.93
2023-07-30,L107,21655.13
2023-07-30,L102/144,11412.12
2023-07-23,L145/133,22949.41
2023-06-25,L126,5440.96
2023-04-02,L142,28729.72
2023-02-05,L130,6400.55
2023-01-29,L143/136/137,18019.56
2023-01-29,L126,4226.85
2022-10-16,L102/144,11577.43
2022-10-16,L128,12690.15
2022-10-09,L128,7248.99
2022-10-02,L145/133,23140.66
2022-10-02,L128,11437.18
2022-09-11,L142,35596.26
2022-09-04,L142,34725.66
2022-08-28,L103,22018.52
2022-08-21,L145/133,24741.26
2022-08-14,L145/133,22652.31
2022-08-07,L145/133,25620.8
2022-08-07,L122,25807.14
2022-06-26,L102/144,11298.77
2022-06-19,L102/144,9998.6
2022-06-12,L102/144,10597.54
2022-06-12,L138,9124.23
2022-05-22,L102/144,10683.72
2022-04-24,L142,27403.91
2022-04-03,L145/133,26619.77
2022-03-13,L110,26018.55
2021-12-05,L128,11763.9
2021-10-24,L102/144,13218.56
2021-09-26,L102/144,11273.68
2021-08-29,L103,22170.24
2021-08-15,L143/136/137,16322
2021-08-15,L103,19064.28
2021-08-08,L103,21952.82
2021-06-20,L130/146,12488.27
2021-06-13,L130/146,13511.52
2021-05-30,L102/144,7576.36
2021-04-25,L102/144,10980.59
2021-04-11,L101,8085.8
2021-04-04,L101,8320.92
2021-03-28,L101,5952.25
2021-03-28,L103,18449.74
2021-03-21,L101,7621.12
2021-03-14,L101,8228.97
2021-03-07,L101,8677.56000000001
2021-01-17,L130,3739.76
2020-09-20,L145,4938.36
2020-09-13,L145,8006.22
2020-08-23,L145,6118.32
2020-08-16,L145,7937.08
2020-01-26,L129,8444.58
2019-12-22,L110,20492.38
2019-12-15,L143,26589.05
2019-12-15,L130,8775.23
2019-09-29,L143,23999.34
2023-11-12,L146,4015.93
2023-11-05,L146,16541.5
2023-11-05,L102/144,12197.49
2023-11-05,L145/133,27326.85
2023-10-29,L145/133,25269.65
2023-10-29,L146,15507.56
2023-10-29,L140,11532.32
2023-10-22,L130,7595.38
2023-10-22,L107,23608.89
2023-10-22,L122,27720.21
2023-10-22,L146,15780.63
2023-10-15,L146,14139.26
2023-10-08,L128,11805.61
2023-10-01,L128,12965.48
2023-05-14,L142,36401.12
2023-05-07,L102/144,11824.97
2023-04-30,L143/136/137,19310.32
2023-03-05,L107,22163.16
2023-02-19,L110,19082.91
2023-02-12,L110,23361.33
2023-02-05,L110,23542.19
2023-01-29,L110,23146.77
2023-01-08,L142,31091.59
2023-01-01,L101,8636.19
2022-12-25,L101,8593.38
2022-12-18,L110,24315.56
2022-12-11,L110,27450.3
2022-12-04,L110,22919.31
2022-11-27,L110,29520.63
2022-11-20,L103,23387.67
2022-11-20,L110,26008.36
2022-11-06,L110,28198.04
2022-10-30,L110,27003.03
2022-10-23,L110,27172.15
2022-10-16,L110,26572.1
2022-09-25,L110,26914.17
2022-09-11,L110,27792.84
2022-09-04,L110,28915.67
2022-08-28,L110,25444.19
2022-07-31,L102/144,10918.67
2022-07-24,L110,26784.47
2022-07-17,L110,23678.12
2022-06-26,L110,26288.31
2022-06-19,L110,23309.24
2022-06-12,L110,22881.11
2022-05-29,L110,26278.18
2022-05-22,L110,22522.74
2022-05-15,L110,18599.36
2022-05-08,L110,25274.16
2022-05-01,L110,24640.59
2022-04-24,L110,22541.98
2022-04-17,L110,25110.38
2022-04-10,L110,20583.62
2022-04-03,L110,25674.57
2022-03-27,L110,24863.05
2022-03-20,L110,23077.6
2022-03-06,L110,25402.79
2022-03-06,L101,10102.7
2022-02-27,L110,20567.72
2022-02-20,L110,21226.25
2022-02-13,L110,21269.1
2022-02-06,L110,20226.89
2021-12-19,L110,23630.83
2021-12-12,L101,9364.18
2021-11-28,L110,25170.39
2021-11-21,L110,23066.12
2021-11-21,L101,8413.52
2021-11-14,L103,24055.89
2021-10-03,L143/136/137,17854.79
2021-10-03,L101,6810.93
2021-05-30,L130/146,14818.89
2021-05-23,L130/146,6854.41
2021-05-16,L130/146,8964.68
2021-04-25,L110,19470.34
2021-04-04,L143/136/137,19207.2
2021-03-07,L143/136/137,20268.86
2021-02-14,L110,17156.75
2021-02-07,L110,19392.24
2021-01-03,L110,18455.61
2021-01-03,L129,4741.08
2020-12-27,L143,16909.39
2020-12-20,L143,15742.25
2020-12-20,L110,16532.35
2020-12-13,L110,19016.41
2020-12-06,L110,16776.1
2020-11-29,L110,16119.8
2020-11-22,L110,18116.04
2020-11-08,L110,7056.76
2020-06-14,L110,12847.95
2020-06-07,L110,11683.73
2020-05-31,L110,6930.48
2020-05-03,L110,11431.7
2020-05-03,L101,5119.04
2020-04-19,L101,4714.98
2020-03-15,L101,9069.17
2020-03-15,L110,19112.16
2020-03-08,L110,27192.4
2020-03-08,L143,27178.12
2020-02-09,L101,10261.33
2019-12-01,L101,12135.66
2019-11-24,L101,13588.9
2019-11-17,L101,13460.52
2019-11-10,L101,12893.31
2019-10-27,L101,13221.41
2019-10-20,L101,13546.34
2019-10-13,L101,11581.71
2019-10-06,L101,12779.86
2019-09-29,L101,13297.99
2019-09-22,L101,13670.62
2019-09-15,L129,9682.95
2019-09-15,L101,13464.05
2019-09-08,L101,13643.18
2019-09-08,L129,9342.02
2019-09-01,L129,10223.12
2019-08-25,L129,9823.78
2019-08-18,L129,9789.52
2019-08-11,L129,9902.31
2019-08-11,L133,19026.23
2019-08-04,L129,9967.53
2019-08-04,L101,15302.51
2019-07-28,L110,27541.04
2019-07-28,L101,14532.32
2019-07-21,L101,14577.43
2019-07-21,L143,22814.62
2019-02-03,L142,29971.16
2019-01-13,L101,8312.33
2019-01-13,L102,10539.73
2019-01-06,L102,9662.56
2019-01-06,L142,30767.27
2019-01-06,L107,21146.33
2018-12-30,L107,12122.73
2018-12-30,L142,17330.02
2021-06-13,L107,16741.01
2021-06-06,L107,15538.4
2021-05-30,L107,16212.3
2021-05-02,L107,19398.3
2021-04-25,L107,18919.57
2021-04-18,L107,19896.44
2021-04-11,L107,19633.23
2021-04-04,L145/133,23268.99
2021-04-04,L107,18798.2
2021-03-28,L107,16173.79
2021-03-21,L107,17452.13
2021-03-14,L107,18765.57
2021-01-31,L107,17326.71
2021-01-24,L107,17060.94
2021-01-17,L107,16223.19
2021-01-10,L107,15427.08
2020-12-06,L107,13306.26
2020-11-29,L107,15401.05
2020-11-22,L107,14538.04
2020-11-08,L107,5838.09
2020-10-25,L107,13571.79
2020-10-18,L107,14192.35
2020-10-11,L107,13709.51
2020-10-04,L107,11511.25
2020-09-27,L107,10908.18
2020-09-20,L107,7482.33
2020-09-13,L107,10813.5
2020-08-23,L107,8028.51
2020-08-16,L107,12020.04
2020-08-09,L107,14086.43
2020-08-02,L107,15028.72
2020-07-26,L107,7006.48
2020-06-07,L107,13507.4
2020-05-31,L107,7311.5
2020-05-10,L107,1716.64
2020-05-03,L107,11976.79
2020-04-26,L107,10996.12
2020-04-19,L107,12007.69
2020-04-12,L107,12232.32
2020-04-05,L107,11020.83
2020-03-29,L107,10336.31
2020-03-22,L107,10386.34
2020-03-15,L107,17400.44
2020-03-08,L107,23624.69
2020-03-01,L107,23087
2020-02-02,L107,23229.1
2020-01-26,L107,20982.05
2020-01-19,L107,22040.01
2020-01-12,L107,19958.99
2020-01-05,L107,21567.8
2019-12-29,L107,18776.89
2019-12-22,L107,19233.5
2019-12-15,L107,23114.41
2019-12-08,L107,22955.07
2019-12-01,L107,23019.33
2019-11-24,L107,23776.28
2019-11-17,L107,22783.37
2019-11-10,L107,22167.7
2019-11-10,L146,15991.08
2019-11-03,L107,24158.19
2019-10-27,L107,22988.44
2019-10-20,L107,22269.29
2019-10-13,L107,21339.95
2019-10-06,L107,21849.2
2019-09-29,L107,23467.36
2019-09-29,L142,36270.4
2019-09-22,L107,24219.89
2019-09-15,L107,23542.85
2019-09-08,L107,23381.32
2019-09-01,L142,36205.84
2019-08-25,L142,36323.71
2019-08-18,L142,35041.04
2019-08-18,L146,15602.79
2019-08-11,L146,15973.34
2019-08-11,L142,33947.79
2019-08-04,L142,36260.42
2019-08-04,L107,24402.58
2019-07-28,L142,34352
2019-07-28,L107,24891.2
2019-07-21,L142,35732.07
2019-07-21,L107,24874.21
2019-07-07,L142,28301.75
2019-06-30,L142,38095.82
2019-01-27,L142,31587.96
2019-01-20,L142,31003.13
2019-01-20,L103,22841.99
2023-11-12,L145/133,6072.14
2023-10-15,L145/133,23259.97
2023-10-08,L145/133,24136.15
2023-10-08,L107,21439.83
2023-10-01,L142,36373.52
2023-10-01,L143/136/137,19873.48
2023-09-24,L143/136/137,19824.99
2023-09-24,L103,24199.8
2023-09-17,L142,36453.98
2023-09-10,L143/136/137,21435.58
2023-09-10,L142,36653.13
2023-09-03,L122,26751.99
2023-08-27,L146,15298.92
2023-08-20,L142,30999.7
2023-08-20,L143/136/137,18190.42
2023-08-13,L143/136/137,20789.9
2023-08-13,L142,34838.35
2023-08-13,L102/144,12310.93
2023-08-13,L107,23433.92
2023-08-06,L102/144,11407.37
2023-08-06,L122,25457.73
2023-08-06,L107,21850.02
2023-07-30,L142,35029.39
2023-07-30,L145/133,26185.51
2023-07-16,L145/133,22508.68
2023-07-09,L145/133,25349.45
2023-07-09,L142,34913.07
2023-07-02,L143/136/137,20719.55
2023-07-02,L138,10137.93
2023-07-02,L142,34576.42
2023-06-04,L126,5783.1
2023-06-04,L102/144,11963.69
2023-05-28,L128,13033.44
2023-05-28,L107,22547.77
2023-05-28,L146,16166.91
2023-05-21,L146,12936.07
2023-04-23,L128,12257.94
2023-03-12,L102/144,12934.8
2023-03-12,L133/125,18994.1
2023-02-19,L140,8548.61
2023-02-19,L138,8921.29
2023-01-08,L101,8951.64000000001
2022-12-25,L133/125,13652.39
2022-12-18,L133/125,15798.16
2022-12-11,L133/125,17482.75
2022-12-04,L103,23301.26
2022-11-27,L103,27872.24
2022-10-16,L101,10846.37
2022-10-02,L102/144,10611.2
2022-09-25,L102/144,11595.85
2022-09-04,L101,10726.64
2022-08-28,L107,21151.09
2022-05-29,L142,32845.36
2022-03-27,L103,23018.29
2022-03-20,L143/136/137,18623.46
2022-02-27,L103,20411.66
2022-02-06,L133/125,12586.08
2022-01-30,L133/125,12497.62
2022-01-23,L133/125,12714.47
2022-01-16,L133/125,12804.96
2022-01-16,L107,16284.98
2022-01-16,L142,25720.24
2022-01-09,L130/146,13171.86
2022-01-02,L110,20583.39
2021-12-26,L110,19739.91
2021-12-12,L110,26440.03
2021-11-28,L142,32741.81
2021-11-21,L142,28410.49
2021-10-31,L110,25547.99
2021-10-24,L110,26421.95
2021-10-17,L110,24363.87
2021-09-19,L110,23710.82
2021-09-12,L110,25510.44
2021-09-05,L110,23075.19
2021-08-29,L110,22534.46
2021-08-22,L110,22661.11
2021-08-15,L110,20612.45
2021-08-08,L110,22024.67
2021-06-13,L143/136/137,17223.81
2021-05-02,L103,19816.35
2021-04-11,L103,22460.22
2021-04-04,L103,22076.63
2021-02-28,L101,6102.19
2021-02-07,L143/136/137,19060.94
2021-01-10,L133,11148.94
2021-01-03,L143,18599.63
2020-12-27,L103,17677.01
2020-12-06,L129,4986.07
2020-11-29,L129,5601.47
2020-11-22,L129,5484.07
2020-11-01,L110,17102.39
2020-10-25,L110,15895.51
2020-10-25,L143,15234.87
2020-10-18,L143,16064.2
2020-10-18,L110,16980.74
2020-10-11,L110,15373.64
2020-10-04,L110,15574.57
2020-09-13,L110,11681.88
2020-08-23,L110,8937.51
2020-08-16,L110,12587.78
2020-08-09,L110,16973.48
2020-08-02,L110,18045.73
2020-07-26,L110,5750.59
2020-06-28,L110,9753.02
2020-06-21,L110,12974.3
2020-03-15,L129,7022.88
2020-02-23,L110,18672.44
2020-02-09,L110,22457.12
2020-02-02,L110,23542.84
2020-01-26,L110,22004.25
2020-01-19,L110,24150.82
2020-01-12,L110,22544
2020-01-12,L143,22294.21
2019-12-22,L143,20844.1
2019-12-08,L129,9981.33
2019-12-01,L129,9518.09
2019-11-24,L133,22250.32
2019-11-17,L133,21037.17
2019-11-10,L143,25217.07
2019-11-10,L103,24374.19
2019-11-03,L103,24163.32
2019-11-03,L129,9735.31
2019-11-03,L110,25706.31
2019-10-27,L110,25939.06
2019-09-29,L133,21115.43
2019-09-22,L129,9770.77
2019-08-25,L143,24597.52
2019-08-18,L143,23491.4
2019-08-18,L101,12854.02
2019-08-11,L101,13786.44
2019-08-11,L143,24002.55
2019-08-04,L110,28436.66
2019-07-07,L110,21228.02
2019-06-30,L110,27915.36
2019-06-30,L143,24190.33
2019-06-23,L101,13352.16
2019-06-16,L101,11486.14
2019-06-09,L101,14147.79
2019-06-02,L101,14115.38
2019-05-26,L101,11714.83
2019-05-19,L101,13534.66
2019-05-12,L101,13789.21
2019-05-05,L101,13980.36
2019-04-28,L101,10657.17
2019-04-21,L101,13402.44
2019-04-14,L101,10975.9
2019-04-07,L101,15172.48
2019-03-31,L101,14584.96
2019-03-24,L101,13168.36
2019-03-17,L101,14530.79
2019-03-10,L101,13105.08
2019-03-03,L101,10457
2019-02-10,L101,9632.77
2023-11-12,L128,2872.49
2023-11-05,L142,38914.74
2023-10-08,L110,23916.14
2023-10-08,L142,33812.68
2023-10-01,L145/133,25305.23
2023-09-24,L145/133,25589.33
2023-09-17,L145/133,25252.25
2023-09-03,L143/136/137,20767.38
2023-09-03,L107,22077.98
2023-08-27,L140,11695.03
2023-08-20,L140,10612.29
2023-07-30,L140,11481.91
2023-07-23,L102/144,9536.32
2023-07-23,L143/136/137,17346.98
2023-07-16,L143/136/137,18635.18
2023-07-09,L146,16205.86
2023-07-02,L146,16764.8
2023-06-25,L146,15497.21
2023-06-18,L146,10796.85
2023-06-18,L102/144,7449.14
2023-06-11,L102/144,9527.46
2023-05-07,L122,25006.81
2023-04-30,L122,23556.5
2023-04-16,L103,24242.76
2023-04-16,L145/133,25532.32
2023-03-05,L142,36026.49
2023-02-26,L133/125,15303.87
2022-11-27,L133/125,18173.25
2022-07-10,L133/125,15289.95
2022-06-26,L142,34072.48
2022-06-05,L128,12515.48
2022-05-22,L142,29788.16
2022-03-27,L143/136/137,19956.42
2022-02-06,L107,17319.11
2022-01-30,L107,16098.72
2022-01-30,L142,27712.27
2022-01-23,L142,25934.08
2021-11-14,L142,32444.4
2021-09-26,L145/133,21457.01
2021-07-18,L143/136/137,16056.62
2021-07-11,L143/136/137,15746.01
2021-05-09,L130/146,14318.91
2021-04-18,L103,21346.33
2021-01-31,L145/133,17874.66
2021-01-24,L145/133,16787.01
2020-12-20,L103,17532.92
2020-11-29,L103,18256.87
2020-11-22,L103,19328.48
2020-11-08,L103,7227.17
2020-10-18,L145,11112.78
2020-10-11,L143,15198.2
2020-10-11,L103,16580.3
2020-10-11,L128,6545.5
2020-10-04,L128,7836.78
2020-08-23,L128,5170.42
2020-08-16,L128,8452.53
2020-08-09,L128,10186.71
2020-08-02,L128,10540.92
2020-07-26,L128,2837.41
2020-01-05,L130,8500.58
2019-12-29,L130,5775.2
2019-09-15,L143,23761.05
2019-03-10,L130,8859.18
2019-03-03,L103,18338.54
2019-01-13,L107,21795.07
2023-11-12,L138,2426.17
2023-11-05,L143/136/137,20722.02
2023-10-22,L102/144,11379.33
2023-10-15,L102/144,10278.04
2023-10-08,L102/144,11093.9
2023-10-01,L140,11828.56
2023-09-24,L142,36601.57
2023-09-17,L122,26325.88
2023-09-17,L128,12801.93
2023-09-10,L128,12228.37
2023-09-10,L122,25733.3
2023-08-27,L143/136/137,20186.18
2023-08-20,L103,20988.95
2023-07-30,L146,15721.41
2023-07-23,L107,20416.17
2023-07-09,L143/136/137,20246.3
2023-07-09,L110,26888.3
2023-07-02,L102/144,12036.83
2023-06-11,L145/133,20490.37
2023-06-04,L142,36435.32
2023-05-07,L126,6189.27
2023-04-30,L126,5593.3
2023-04-30,L140,10974.42
2023-04-23,L140,12015.2
2023-04-23,L138,11283.95
2023-04-23,L107,23922.44
2023-04-16,L128,13476.87
2023-02-19,L101,7254.26
2023-01-22,L143/136/137,17068.64
2023-01-15,L143/136/137,18054.09
2023-01-15,L140,11530.99
2023-01-01,L145/133,23005.17
