Semana,Linea,KM
2020-01-19T00:00:00Z,L339,84118.197
2019-09-08T00:00:00Z,L339,97504.956
2019-06-30T00:00:00Z,203I,215394.3
2023-04-16T00:00:00Z,LMAV,41687.449
2020-01-05T00:00:00Z,N339,67167.798
2020-02-02T00:00:00Z,N339,69356.269
2019-06-02T00:00:00Z,N339,81186.834
2019-01-20T00:00:00Z,359V,83280.444
2019-10-27T00:00:00Z,N339,79042.931
2019-03-03T00:00:00Z,LEXP,100269.863
2023-07-02T00:00:00Z,N339,35925.691
2023-04-23T00:00:00Z,N339,34436.034
2020-02-09T00:00:00Z,N339,67743.892
2019-02-17T00:00:00Z,LEXP,108293.71
2020-01-12T00:00:00Z,N339,67844.771
2019-06-09T00:00:00Z,LEXP,117553.369
2023-10-15T00:00:00Z,N339,40297.051
2023-02-19T00:00:00Z,N339,27838
2021-08-15T00:00:00Z,N339,26905.38
2022-05-08T00:00:00Z,LINA,154102.643
2019-06-30T00:00:00Z,359V,86514.297
2021-08-08T00:00:00Z,N339,23867.153
2023-09-17T00:00:00Z,N339,39467.794
2018-12-30T00:00:00Z,N339,42729.191
2023-08-06T00:00:00Z,LMAV,40085.14
2023-10-08T00:00:00Z,N339,36678.99
2023-01-29T00:00:00Z,LINA,126862.38
2023-09-24T00:00:00Z,LINA,156029.586
2019-09-01T00:00:00Z,359V,74148.424
2022-09-25T00:00:00Z,N339,31546.288
2023-09-03T00:00:00Z,N339,40861.292
2023-10-29T00:00:00Z,N339,40967.266
2020-12-06T00:00:00Z,203I,191901.92
2019-10-13T00:00:00Z,L339,89709.6349999999
2022-05-29T00:00:00Z,203M,254035.33
2020-02-23T00:00:00Z,L339,75912.191
2023-07-09T00:00:00Z,N339,34000.764
2019-01-06T00:00:00Z,N339,74821.763
2021-12-19T00:00:00Z,LINA,135373.842
2019-06-02T00:00:00Z,LEXP,119773.545
2023-02-12T00:00:00Z,N339,31772.258
2023-05-28T00:00:00Z,N339,38702.336
2023-01-15T00:00:00Z,N339,28533.921
2023-04-09T00:00:00Z,N339,33952.247
2023-11-05T00:00:00Z,N339,39463.763
2019-06-02T00:00:00Z,203M,202249.067
2019-03-24T00:00:00Z,359V,88594.195
2019-04-28T00:00:00Z,203I,187456.9
2022-04-10T00:00:00Z,N339,31059.604
2019-11-10T00:00:00Z,L339,79942.5740000001
2019-05-12T00:00:00Z,L339,99485.625
2023-08-13T00:00:00Z,N339,36858.96
