Fecha,KM
2021-11-02,75567.46
2023-09-03,44582.925
2022-06-18,57090.372
2022-01-30,33243.331
2022-05-29,40502.856
2021-10-08,35282.426
2022-10-08,57896.149
2021-10-11,33852.235
2021-11-28,32492.015
2022-10-09,40962.96
2022-07-20,82431.25
2023-09-05,102725.332
2021-10-02,49300.256
2021-10-19,75815.1020000001
2022-05-01,32874.068
2023-02-05,40832.228
2021-10-26,76177.1540000001
2022-10-30,40277.936
2023-05-14,45946.868
2022-01-16,30860.064
2022-02-13,33811.176
2022-12-12,91031.0020000001
2022-09-25,41573.554
2022-09-18,41741.175
2022-11-20,44437.515
2023-10-14,60757.829
2023-05-24,100250.446
2023-03-26,44657.699
2022-04-16,47713.791
2023-01-17,77728.8020000001
2022-12-06,91904.2080000001
2023-09-14,101797.097
2022-02-10,53509.789
2021-11-07,34430.289
2022-10-10,42002.867
2021-11-21,31590.361
2023-09-22,101206.779
2021-10-15,70779.219
2022-01-28,55189.878
2022-12-09,41229.946
2022-10-07,41540.729
2022-06-11,57603.257
2021-11-15,75470.1110000001
2022-09-16,97531.615
2022-04-17,32895.944
2023-07-25,87631.942
2023-01-22,40505.08
2021-10-09,48384.782
2022-12-04,41523.792
2022-01-18,53447.049
2022-10-23,42243.208
2022-09-09,97051.0980000001
2023-01-03,79179.216
2022-08-01,95441.4279999999
2022-12-25,40250.666
2021-10-04,73453.5149999999
2022-08-07,44171.994
2022-09-04,42649.851
2023-08-02,99992.053
2023-05-27,63491.305
2023-07-10,102567.977
2023-06-17,44173.331
2021-12-13,74649.629
2021-10-01,73177.1900000001
2023-07-17,88174.15
2022-11-07,97150.329
2022-06-27,93556.688
2023-07-20,87623.4969999999
2023-02-16,81801.663
2022-11-06,40737.592
2022-10-31,94934.476
2021-11-09,73428.9819999999
2023-05-28,46429.98
2023-10-22,47321.881
2023-09-26,102131.602
2022-01-19,54097.789
2022-06-13,92982.732
2023-10-28,62622.827
2023-01-10,78701.285
2022-11-28,97628.874
2022-01-31,54602.464
2023-07-18,86885.326
2023-09-23,60748.9770000001
2021-10-18,74701.377
2022-03-26,47934.524
2023-09-29,101616.263
2022-03-19,49143.736
2022-06-04,57725.421
2023-07-11,103082.07
2022-03-10,73428.7770000001
2022-08-28,42349.929
2023-10-04,102203.378
2021-11-01,72561.409
2021-11-17,75860.241
2022-09-21,96533.3589999999
2021-12-10,73380.4289999999
2023-07-08,61981.37
2022-06-22,94144.369
2023-05-07,46538.915
2023-02-22,80033.814
2022-08-24,94833.6669999999
2021-12-19,32006.47
2023-10-19,101205.31
2021-11-26,71220.947
2022-11-03,97636.522
2023-08-24,100524.469
2023-09-06,101955.919
2023-02-08,80897.3880000001
2021-10-12,72000.117
2023-07-03,100913.731
2023-02-23,81227.0850000001
2023-09-04,102533.107
2023-09-21,101805.029
2022-10-24,96602.0810000001
2021-12-29,57316.151
2023-01-26,78381.9429999999
2022-03-09,73488.843
2021-10-27,76325.24
2023-02-17,79681.995
2022-03-24,33903.532
2023-07-29,62413.452
2023-09-27,102210.438
2021-12-06,73646.845
2023-08-11,98812.37
2023-07-21,86010.77
2021-11-11,75443.123
2022-03-02,74515.2309999999
2022-08-13,57754.44
2021-11-18,75646.6330000001
2022-10-02,42292.915
2023-10-30,101843.308
2023-09-25,102046.515
2022-08-11,95659.727
2023-01-20,76638.693
2021-10-29,71660.312
2021-12-08,33076.255
2022-07-23,59383.377
2023-07-07,102489.859
2022-01-24,53877.237
2023-08-14,100871.853
2022-08-08,95463.897
2022-09-10,60165.698
2023-02-10,78626.916
2023-10-26,102253.728
2022-08-31,95954.543
2023-01-09,78307.1469999999
2023-01-16,77459.581
2023-10-13,44550.463
2023-02-07,80042.358
2021-11-13,48871.774
2023-09-11,102283.568
2023-09-08,102470.579
2023-09-19,102104.104
2023-08-06,45303.23
2022-11-12,62108.413
2023-08-07,100347.894
2023-01-31,78672.6200000001
2023-07-24,86887.1030000001
2023-05-16,103595.525
2021-12-20,71707.981
2023-09-18,101963.688
2023-01-18,78923.117
2023-09-28,102648.368
2022-07-12,81189.3849999999
2023-01-27,76991.691
2023-01-06,77991.0120000001
2023-04-15,65877.3749999999
2023-02-21,43586.34
2023-01-13,77924.607
2022-08-19,94051.3880000001
2023-05-06,63885.559
2022-01-10,47246.149
2023-09-20,101948.656
2022-04-04,75011.22
2023-01-15,41109.8930000001
2023-01-19,78282.275
2021-11-06,47593.4420000001
2023-01-02,77825.808
2023-07-14,102539.449
2023-07-13,103054.718
2022-03-01,33897.861
2022-10-27,97352.6160000001
2021-11-14,39220.118
2023-08-13,47585.665
2023-01-04,78850.958
2022-01-15,41827.854
2022-02-07,54628.55
2022-03-11,74643.903
2021-11-30,72985.5240000001
2022-03-20,32588.933
2023-10-23,101572.556
2022-04-01,74780.523
2022-01-05,54565.299
2022-03-07,74931.28
2021-12-30,56884.872
2023-01-05,79163.852
2023-01-12,78501.696
2022-11-25,96826.864
2023-02-24,79913.7200000001
2022-01-01,29536.163
2023-07-26,86934.5500000001
2022-04-29,72473.448
2023-10-01,44909.627
2022-11-29,97054.1780000001
2022-05-24,92797.1050000001
2023-09-07,101907.106
2023-05-12,102548.214
2023-08-28,99982.0239999999
2021-12-03,71857.982
2021-12-02,73317.626
2022-03-14,75138.6960000001
2022-11-24,97850.729
2022-03-21,74133.7349999999
2022-11-08,98150.836
2022-02-22,51535.448
2021-12-14,73110.218
2022-03-05,47727.848
2022-10-22,59152.8459999999
2023-01-25,78546.811
2022-05-14,53360.646
2021-12-09,72830.5109999999
2023-08-09,99007.506
2022-12-02,96429.137
2023-04-02,44778.038
2022-04-12,75574.872
2023-10-16,44817.861
2022-10-05,98437.6580000001
2022-09-19,96880.5689999999
2023-08-03,99654.951
2022-02-20,32837.967
2022-07-13,81282.757
2021-09-30,72933.6
2022-11-09,97237.624
2023-01-08,40696.87
2023-05-23,102545.094
2023-10-15,45225.92
2023-08-20,45367.832
2022-03-18,74252.232
2022-09-30,97863.6
2022-03-15,75012.959
2022-01-20,52581.145
2022-09-11,41757.398
2023-08-25,100586.974
2022-11-17,99072.6169999999
2022-11-13,43855.545
2023-07-02,45495.653
2022-04-07,75190.79
2022-09-05,95615.6419999999
2022-04-20,74568.376
2022-03-22,74857.4520000001
2023-07-19,87019.503
2022-03-23,73215.0610000001
2022-10-25,96688.873
2021-12-27,59483.891
2021-12-21,71670.9760000001
2022-07-27,95054.598
2022-12-30,76153.9300000001
2023-06-24,63734.026
2022-08-16,95783.2960000001
2021-12-23,68160.889
2022-01-23,33901.099
2022-05-05,79720.7760000001
2022-04-21,75057.067
2022-06-28,93926.179
2022-08-06,59351.739
2022-05-09,82262.521
2022-04-11,74919.848
2023-07-12,102392.002
2022-04-08,74791.238
2022-11-02,97459.43
2022-09-15,97388.56
2022-09-08,96854.4699999999
2022-11-21,43872.028
2022-04-03,33849.01
2022-10-01,59129.642
2021-12-25,32828.186
2023-03-04,58923.053
2021-11-24,73699.493
2022-06-10,91669.2400000001
2021-12-01,72456.4260000001
2022-12-19,91854.4929999999
2022-01-03,58095.925
2023-08-12,62571.215
2022-01-17,52336.016
2023-08-19,61842.724
2022-05-02,74688.59
2022-01-09,28637.709
2022-05-15,39322.468
2023-05-13,63860.2
2023-02-11,57304.714
2022-04-02,33071.351
2022-01-21,53254.619
2022-03-17,73624.508
2022-04-13,74502.115
2022-05-03,78272.7640000001
2023-04-08,64200.8520000001
2021-12-11,47022.4619999999
2022-12-28,76641.094
2021-12-07,73919.7430000001
2022-09-06,97081.767
2022-07-16,58625.8
2022-03-12,48648.814
2022-12-21,92700.933
2022-04-14,48757.499
2023-08-17,101006.4
2022-11-01,96217.484
2022-05-23,94211.549
2022-09-22,96897.186
2022-09-13,97285.974
2022-08-17,95501.415
2023-01-14,56655.834
2022-08-20,58665.486
2021-10-07,49462.4780000001
2022-05-12,83878.1110000001
2023-07-15,62247.809
2023-02-25,58106.652
2022-09-12,97742.685
2022-09-01,96051.508
2022-01-06,52323.45
2022-02-01,54146.752
2022-04-28,74793.3810000001
2023-02-13,80795.656
2022-12-22,93288.192
2022-10-26,97785.885
2022-06-23,93369.278
2022-05-31,94314.376
2022-08-10,95971.506
2022-12-27,76002.895
2022-10-03,98669.876
2022-08-04,95679.4650000001
2021-12-26,34134.774
2023-05-08,102483.332
2022-09-23,96973.884
2022-07-30,58068.997
2023-10-24,101884.237
2022-07-29,95217.466
2022-12-05,92334.84
2022-02-16,53555.851
2022-02-25,52849.11
2022-08-03,95455.264
2023-01-23,78523.324
2022-08-30,95478.3839999999
2022-09-27,97177.336
2022-07-04,94496.873
2023-07-01,62954.926
2023-07-30,45588.109
2023-02-01,78459.2040000001
2023-07-09,44072.013
2022-05-21,60260.555
2022-09-29,97817.2179999999
2022-04-22,74499.732
2022-10-17,97887.239
2022-03-28,75186.484
2022-01-14,51398.669
2023-08-04,100256.395
2022-08-02,95972.3
2022-11-04,96699.8999999999
2022-05-20,93037.1599999999
2022-06-29,94209.586
2022-08-25,95817.118
2022-06-08,93101.7360000001
2022-09-07,97722.7359999999
2022-01-13,49584.108
2022-04-10,33226.913
2022-09-26,96643.5219999999
2022-02-26,46718.757
2022-02-18,53764.56
2023-02-02,79131.565
2022-08-18,94604.828
2022-08-05,95948.8619999999
2022-02-21,53389.381
2022-12-20,62177.5290000001
2021-12-17,70996.763
2023-09-30,61314.594
2023-02-26,42717.776
2022-06-09,93920.0530000001
2023-02-19,43114.455
2022-08-29,94736.795
2022-04-05,74493.8980000001
2022-12-14,91523.67
2022-06-03,90146.4090000001
2022-01-25,54608.705
2022-09-28,97768.4019999998
2023-02-06,79240.089
2022-03-13,32263.47
2022-04-19,75694.496
2022-08-23,94955.7910000001
2022-04-18,75948.4900000001
2022-04-27,74010.325
2023-01-01,38077.02
2022-04-30,46765.301
2022-02-15,53321.291
