Fecha,Linea,LTS
2019-03-28,L102,2852.63
2019-03-27,L102,2912.6
2019-03-26,L102,2650.9
2019-03-21,L102,2719.84
2019-03-20,L102,2685.82
2019-03-19,L102,1339.62
2019-03-15,L102,2186.98
2019-03-14,L102,3374.39
2019-03-13,L102,1772.55
2019-03-11,L102,2500.75
2019-02-18,L101,2218.19
2019-02-04,L101,1659.24
2019-02-01,L101,1108.77
2019-01-31,L107,3693.79
2019-01-30,L107,3315.12
2019-01-29,L107,3736.51
2019-01-28,L101,1332.93
2019-07-16,L146,2411.1
2019-07-15,L146,2739.23
2019-07-13,L146,1534.85
2019-07-01,L146,2285.67
2019-06-29,L146,1529.98
2019-06-26,L146,1694.31
2019-06-15,L146,1582.41
2019-06-08,L146,1571.7
2019-06-07,L146,2690.82
2019-06-05,L146,2481.14
2019-05-23,L146,3047.98
2019-05-18,L146,1675.55
2019-05-09,L146,2575.16
2019-05-06,L146,3089.7
2019-04-29,L102,3096.74
2019-04-27,L146,1595.01
2019-04-24,L102,2571.35
2019-04-23,L102,2649.88
2019-04-16,L102,2640.99
2019-04-15,L146,2548.72
2019-04-12,L146,2489.09
2019-04-10,L146,1813.27
2019-04-08,L107,4015.88
2019-03-25,L102,2573.73
2019-03-23,L102,1533.9
2019-02-06,L107,3908.57
2019-02-03,L107,3144.38
2019-02-02,L107,2612.48
2019-02-01,L107,3840.76
2019-01-28,L107,3448.06
2019-01-27,L107,3696.88
2019-01-25,L107,3388.17
2019-01-24,L107,3686.77
2019-01-23,L107,3867.77
2019-06-10,L102,3229.91
2019-06-07,L102,2953.32
2019-06-06,L102,3235.33
2019-05-19,L102,870.14
2019-05-18,L102,1619.1
2019-05-16,L102,3327.06
2019-05-15,L102,2391.36
2019-05-14,L102,3005.83
2019-05-13,L102,3149.38
2019-05-10,L102,3089.37
2019-04-26,L102,2758.16
2019-04-25,L102,2916.01
2019-04-08,L142,5592.21
2019-04-04,L146,2408.52
2019-03-30,L102,1289.11
2019-03-22,L102,3007.13
2019-03-12,L102,2392.14
2019-03-08,L102,2472.64
2019-03-06,L102,2032.58
2019-03-01,L102,1457.79
2019-02-28,L102,1700.16
2019-02-27,L102,1594.71
2019-02-26,L102,1854.68
2019-02-22,L102,956.78
2019-02-11,L102,2297.5
2019-02-09,L102,933.78
2019-02-06,L102,1789.48
2019-02-05,L102,1758.39
2019-02-04,L102,1947.72
2019-02-02,L102,1202.09
2019-02-01,L102,1203.21
2019-01-28,L146,2046.6
2019-01-27,L146,2320.88
2019-07-10,L146,1992.07
2019-06-17,L146,977.6
2019-05-13,L107,4573.68
2019-04-23,L107,5233.38
2019-04-22,L146,2807.71
2019-04-18,L146,1755.09
2019-04-16,L146,2705.34
2019-04-13,L107,3381.16
2019-04-10,L107,3593.64
2019-04-09,L107,5219.1
2019-04-05,L107,5599.38
2019-04-03,L107,4782.55
2019-04-01,L107,4959.41
2019-03-29,L107,4937.78
2019-03-26,L107,4339.47
2019-03-20,L107,5403.15
2019-03-19,L107,3814.71
2019-03-18,L102,1754.6
2019-03-14,L107,5679.4
2019-03-11,L107,3935.29
2019-03-08,L107,4747.36
2019-03-07,L107,5027.98
2019-03-06,L107,5606.29
2019-07-17,L102,2345.83
2019-07-16,L102,2115.51
2019-07-12,L102,2480.3
2019-07-11,L102,2317.24
2019-07-10,L102,2485.87
2019-07-06,L102,1309.4
2019-07-04,L102,2742.7
2019-07-03,L102,2866.52
2019-07-02,L107,5307.72
2019-07-01,L107,5921.46
2019-06-28,L102,3467.88
2019-06-12,L102,3238.01
2019-04-06,L107,3154.17
2019-03-18,L107,4955.36
2019-03-15,L107,4851.84
2019-03-13,L107,4181.06
2019-02-28,L107,4305.02
2019-02-27,L107,3996.89
2019-02-26,L107,3543.7
2019-02-25,L107,4277.35
2019-02-22,L107,3444.74
2019-02-21,L107,2432.49
2019-02-19,L107,3823.24
2019-02-13,L107,3893.83
2019-02-12,L107,4200.93
2019-02-11,L107,3146.92
2019-02-09,L107,2233.44
2019-02-08,L102,1163.75
2019-02-05,L101,1192.3
2019-02-03,L101,1346.54
2019-01-31,L101,1197.87
2019-01-30,L101,1342.31
2019-01-29,L101,1188.99
2019-01-27,L101,1264.41
2019-01-24,L101,1001.85
2019-01-23,L101,1218.19
2019-06-22,L146,1600.62
2019-06-14,L107,5372.11
2019-06-12,L107,3112.83
2019-06-02,L146,1640.27
2019-06-01,L146,1827.57
2019-05-12,L146,1829.44
2019-05-04,L146,1580.56
2019-04-13,L146,1762.46
2019-04-08,L146,2266.92
2019-04-02,L146,1187.68
2019-03-25,L146,2425.49
2019-03-23,L146,1340.38
2019-03-12,L146,2319.29
2019-03-08,L146,2291.67
2019-02-15,L146,1617.84
2019-01-24,L146,1898.99
2019-01-23,L146,2001.52
2019-01-21,L146,1587.31
2019-01-20,L146,2418.23
2019-01-18,L146,1335.72
2019-01-17,L146,1591.48
2019-01-16,L146,1980.33
2019-01-15,L146,1699.56
2019-01-09,L146,1737.38
2019-01-08,L146,1530.74
2019-01-07,L146,1540.12
2019-01-06,L146,2563.06
2019-01-04,L146,1606.2
2019-05-23,L102,3043.75
2019-05-20,L102,3005.48
2019-03-07,L102,2071.04
2019-02-25,L102,1723.04
2019-02-20,L102,1721.58
2019-02-14,L146,322.15
2019-01-26,L146,1505.91
2019-01-25,L146,1561.84
2020-07-17,L440,8874.97
2020-06-11,L440,9100.71
2019-07-25,203M,17011.41
2019-06-30,203M,7868.61
2019-06-21,203M,14521.18
2019-06-12,203M,13818.9
2019-05-16,203M,14430.28
2019-05-13,203M,15213.98
2019-05-10,203M,26144.11
2019-04-24,203M,13423.16
2019-04-17,203M,14860.86
2019-03-18,203M,15196.53
2019-01-26,L101,855.02
2023-06-05,L107,4084.99
2023-05-23,L107,4181.27
2023-05-22,L145/133,4371.64
2023-05-20,L146,1808.33
2023-05-19,L146,2561.82
2023-05-18,L146,2792.99
2023-05-17,L146,2463.05
2023-05-16,L146,2401.67
2023-05-15,L146,2315.79
2023-05-13,L146,1701.39
2023-05-12,L146,2676.29
2023-05-11,L146,2500.78
2023-05-10,L146,2841.33
2023-05-09,L146,2403.26
2023-05-08,L146,2548.84
2023-05-04,L146,2487.38
2023-05-03,L146,2580.46
2023-05-02,L128,2213.03
2023-04-27,L102/144,2110.05
2023-04-26,L102/144,1947.01
2023-04-24,L143/136/137,3110.21
2023-04-21,L143/136/137,3158.65
2023-04-20,L122,4534.1
2023-04-19,L130,1211.12
2023-04-18,L130,1120.08
2023-04-17,L130,1353.38
2023-04-14,L107,3971.28
2023-04-13,L122,4928.16
2023-04-11,L122,5082.98
2023-04-10,L122,5191.68
2023-04-05,L143/136/137,3525.12
2023-04-04,L143/136/137,3953.84
2023-04-03,L143/136/137,3247.79
2023-03-31,L143/136/137,3439.82
2023-03-30,L143/136/137,3409.46
2023-03-29,L143/136/137,3713.52
