FechaRecaudacion,des_lin,Cantidad_Pasajeros
2019-01-05T00:00:00Z,RINCÓN,11955
2019-01-05T00:00:00Z,35/9 V,9997
2019-01-05T00:00:00Z,VILLA CONS,169
2019-01-06T00:00:00Z,107,6853
2019-01-06T00:00:00Z,315,9513
2019-01-06T00:00:00Z,440,34744
2019-01-06T00:00:00Z,740,9842
2019-01-06T00:00:00Z,PILAR 203,26966
2019-01-06T00:00:00Z,CN33/9,2063
2019-01-06T00:00:00Z,EXPRESO,8158
2019-01-06T00:00:00Z,CP25 A,1534
2019-01-06T00:00:00Z,C AZUL,1063
2019-01-06T00:00:00Z,35/9,3974
2019-01-06T00:00:00Z,LINEA A,6534
2019-01-06T00:00:00Z,MORENO 203,38107
2019-01-06T00:00:00Z,CP33/9,2838
2019-01-06T00:00:00Z,103,6395
2019-01-06T00:00:00Z,143,4290
2019-01-06T00:00:00Z,125,773
2019-01-06T00:00:00Z,41,12868
2019-01-06T00:00:00Z,110,5564
2019-01-06T00:00:00Z,C NEGRA,1093
2019-01-06T00:00:00Z,128,2936
2019-01-06T00:00:00Z,145,2940
2019-01-06T00:00:00Z,146,4636
2019-01-06T00:00:00Z,142,6672
2019-01-06T00:00:00Z,144,974
2019-01-06T00:00:00Z,102,2034
2019-01-06T00:00:00Z,101,1396
2019-01-06T00:00:00Z,130,1226
2019-01-06T00:00:00Z,129,1603
2019-01-06T00:00:00Z,RINCÓN,6575
2019-01-06T00:00:00Z,35/9 V,4575
2019-01-06T00:00:00Z,VILLA CONS,37
2019-01-07T00:00:00Z,107,19231
2019-01-07T00:00:00Z,315,17128
2019-01-07T00:00:00Z,440,82016
2019-01-07T00:00:00Z,740,28743
2019-01-07T00:00:00Z,PILAR 203,53760
2019-01-07T00:00:00Z,CN33/9,2540
2019-01-07T00:00:00Z,EXPRESO,16935
2019-01-07T00:00:00Z,CP25 A,4199
2019-01-07T00:00:00Z,C AZUL,3091
2019-01-07T00:00:00Z,35/9,12731
2019-01-07T00:00:00Z,LINEA A,10850
2019-01-07T00:00:00Z,MORENO 203,68349
2019-01-07T00:00:00Z,CP33/9,6808
2019-01-07T00:00:00Z,FABRICA,45
2019-01-07T00:00:00Z,103,18162
2019-01-07T00:00:00Z,143,13276
2019-01-07T00:00:00Z,125,4530
2019-01-07T00:00:00Z,41,37273
2019-01-07T00:00:00Z,110,17504
2019-01-07T00:00:00Z,C NEGRA,3702
2019-01-07T00:00:00Z,128,10524
2019-01-07T00:00:00Z,145,11244
2019-01-07T00:00:00Z,146,12236
2019-01-07T00:00:00Z,142,20053
2019-01-07T00:00:00Z,144,4607
2019-01-07T00:00:00Z,102,9516
2019-01-07T00:00:00Z,101,6232
2019-01-07T00:00:00Z,130,6380
2019-01-07T00:00:00Z,129,4802
2019-01-07T00:00:00Z,C ROJA,59
2019-01-07T00:00:00Z,RINCÓN,14180
2019-01-07T00:00:00Z,35/9 V,18080
2019-01-07T00:00:00Z,VILLA CONS,628
2019-01-08T00:00:00Z,107,18973
2019-01-08T00:00:00Z,315,17644
2019-01-08T00:00:00Z,440,83278
2019-01-08T00:00:00Z,740,29170
2019-01-08T00:00:00Z,PILAR 203,55987
2019-01-08T00:00:00Z,CN33/9,2384
2019-01-08T00:00:00Z,EXPRESO,17136
2019-01-08T00:00:00Z,CP25 A,4418
2019-01-08T00:00:00Z,C AZUL,3143
2019-01-08T00:00:00Z,35/9,13139
2019-01-08T00:00:00Z,LINEA A,11212
2019-01-08T00:00:00Z,MORENO 203,70758
2019-01-08T00:00:00Z,CP33/9,7315
2019-01-08T00:00:00Z,FABRICA,56
2019-01-08T00:00:00Z,103,17788
2019-01-08T00:00:00Z,143,13137
2019-01-08T00:00:00Z,125,4621
2019-01-08T00:00:00Z,41,38846
2019-01-08T00:00:00Z,110,18624
2019-01-08T00:00:00Z,C NEGRA,3780
2019-01-08T00:00:00Z,128,10609
2019-01-08T00:00:00Z,145,11331
2019-01-08T00:00:00Z,146,12197
2019-01-08T00:00:00Z,142,20081
2019-01-08T00:00:00Z,144,4774
2019-01-08T00:00:00Z,102,9422
2019-01-08T00:00:00Z,101,5691
2019-01-08T00:00:00Z,130,6507
2019-01-08T00:00:00Z,129,5065
2019-01-08T00:00:00Z,C ROJA,98
2019-01-08T00:00:00Z,RINCÓN,15731
2019-01-08T00:00:00Z,35/9 V,19029
2019-01-08T00:00:00Z,VILLA CONS,692
2019-01-09T00:00:00Z,107,18985
2019-01-09T00:00:00Z,315,18161
2019-01-09T00:00:00Z,440,79616
2019-01-09T00:00:00Z,740,28314
2019-01-09T00:00:00Z,PILAR 203,54300
2019-01-09T00:00:00Z,CN33/9,2214
2019-01-09T00:00:00Z,EXPRESO,16675
2019-01-09T00:00:00Z,CP25 A,4177
2019-01-09T00:00:00Z,C AZUL,2698
2019-01-09T00:00:00Z,35/9,12524
2019-01-09T00:00:00Z,LINEA A,11246
2019-01-09T00:00:00Z,MORENO 203,68640
2019-01-09T00:00:00Z,CP33/9,6678
2019-01-09T00:00:00Z,FABRICA,55
2019-01-09T00:00:00Z,103,17521
2019-01-09T00:00:00Z,143,12870
2019-01-09T00:00:00Z,125,4308
2019-01-09T00:00:00Z,41,39022
2019-01-09T00:00:00Z,110,17784
2019-01-09T00:00:00Z,C NEGRA,3163
2019-01-09T00:00:00Z,128,10323
2019-01-09T00:00:00Z,145,11516
2019-01-09T00:00:00Z,146,11604
2019-01-09T00:00:00Z,142,19952
2019-01-09T00:00:00Z,144,4913
2019-01-09T00:00:00Z,102,9438
2019-01-09T00:00:00Z,101,6178
2019-01-09T00:00:00Z,130,6086
2019-01-09T00:00:00Z,129,4783
2019-01-09T00:00:00Z,C ROJA,53
2019-01-09T00:00:00Z,RINCÓN,11818
2019-01-09T00:00:00Z,35/9 V,18108
2019-01-09T00:00:00Z,VILLA CONS,645
2019-01-10T00:00:00Z,107,19029
2019-01-10T00:00:00Z,315,16561
2019-01-10T00:00:00Z,440,81676
2019-01-10T00:00:00Z,740,29480
2019-01-10T00:00:00Z,PILAR 203,54144
2019-01-10T00:00:00Z,CN33/9,2264
2019-01-10T00:00:00Z,EXPRESO,15650
2019-01-10T00:00:00Z,CP25 A,4094
2019-01-10T00:00:00Z,C AZUL,3114
2019-01-10T00:00:00Z,35/9,12722
2019-01-10T00:00:00Z,LINEA A,11060
2019-01-10T00:00:00Z,MORENO 203,68895
2019-01-10T00:00:00Z,CP33/9,6786
2019-01-10T00:00:00Z,FABRICA,42
2019-01-10T00:00:00Z,103,17755
2019-01-10T00:00:00Z,143,12795
2019-01-10T00:00:00Z,125,4503
2019-01-10T00:00:00Z,41,39732
2019-01-10T00:00:00Z,110,18151
2019-01-10T00:00:00Z,C NEGRA,3762
2019-01-10T00:00:00Z,128,10232
2019-01-10T00:00:00Z,145,11286
2019-01-10T00:00:00Z,146,12193
2019-01-10T00:00:00Z,142,19772
2019-01-10T00:00:00Z,144,4809
2019-01-10T00:00:00Z,102,9129
2019-01-10T00:00:00Z,101,6050
2019-01-10T00:00:00Z,130,6064
2019-01-10T00:00:00Z,129,4937
2019-01-10T00:00:00Z,C ROJA,82
2019-01-10T00:00:00Z,RINCÓN,14350
2019-01-10T00:00:00Z,35/9 V,17732
2019-01-10T00:00:00Z,VILLA CONS,651
2019-01-11T00:00:00Z,107,20648
2019-01-11T00:00:00Z,315,18932
2019-01-11T00:00:00Z,440,89349
2019-01-11T00:00:00Z,740,31532
