Semana,Linea,LTS,KM,Consumo
2019-06-16,203M,69735.59,195787.362,35.6180242113891
2019-06-09,203M,81218.8599999999,184387.205,44.0479912909357
2019-05-12,203M,84003.0799999999,206402.245,40.6987239891697
2019-05-05,203M,108748.66,250261.512,43.4540090207719
2019-04-21,203M,91425.5500000001,205680.06,44.4503711249404
2019-04-14,203M,83639.1,194431.73,43.0172071194347
2019-03-17,203M,89896.43,217959.688,41.2445213263472
2023-06-04,L107,22767.86,47767.11,47.6643029063303
2023-05-21,L107,18071.47,39942.462,45.2437558806465
2023-05-21,L145/133,19989.07,45972.615,43.4803850074658
2023-05-14,L146,15505.22,36179.255,42.8566591545348
2023-05-07,L146,15997.88,37287.571,42.9040550804449
2023-04-30,L146,14715.17,33734.413,43.6206493351463
2023-04-30,L128,11240.09,23549.105,47.730433916703
2023-04-23,L102/144,12131.35,26701.485,45.4332408852916
2023-04-23,L143/136/137,19110.24,40653.396,47.0077333760751
2023-04-16,L143/136/137,20338.45,42882.829,47.4279577030704
2023-04-16,L122,26178.57,56689.935,46.1785147575138
2023-04-16,L130,7298.18,15952.055,45.7507198915751
2023-04-09,L107,23240.57,49958.308,46.5199301785801
2023-04-09,L122,27032.35,59721.626,45.2639216487508
2023-04-02,L143/136/137,18101.84,38758.825,46.7037893950604
2023-03-26,L143/136/137,20036.58,42329.222,47.335101032568
2023-03-19,L142,29876.66,68683.317,43.4991513295725
2023-03-19,L146,14727.82,34382.602,42.8350943305571
2023-03-12,L146,16310.34,33200.818,49.12631971899
2023-03-05,L146,16168.64,33487.218,48.2830195091154
2023-02-26,L146,15969.69,32678.405,48.8692456073055
2023-02-26,L140,11981.37,24025.137,49.8701422597507
2023-02-26,L143/136/137,20162.28,39007.855,51.6877434045015
2023-02-19,L143/136/137,15204.36,31826.381,47.7728209185958
2023-02-12,L143/136/137,17607.45,36717.777,47.9534749611884
2023-02-12,L101,9059.46,19467.994,46.5351489218663
2023-02-05,L101,8982.45,17790.617,50.4898171884651
2023-02-05,L102/144,9833.75,19734.763,49.8295824479879
2023-02-05,L133/125,15175.16,34957.78,43.4099648204205
2023-01-29,L133/125,14682.22,33658.141,43.6216010860493
2023-01-22,L107,20363.35,42904.267,47.4622955334489
2023-01-22,L102/144,11531.51,24965.046,46.1906218798876
2023-01-01,L102/144,9771.5,19215.016,50.8534575250939
2022-12-25,L102/144,8922.52,18299.298,48.7588103106469
2022-12-18,L102/144,10775.08,20701.48,52.0498051347054
2022-12-11,L102/144,11838.01,22942.719,51.5981126735676
2022-11-20,L107,21195.09,44779.832,47.3317765015286
2022-11-20,L133/125,16709.13,37484.624,44.575957331198
2022-11-13,L133/125,17943.79,41886.039,42.8395485187797
2022-11-06,L133/125,18071.93,41205.504,43.8580486723327
2022-10-30,L133/125,16958.77,40543.23,41.8288577402442
2022-10-23,L133/125,17408.12,40230.839,43.2705865269178
2022-10-16,L133/125,17023.62,39964.939,42.5963867979381
2022-10-09,L133/125,10169.3,23886.307,42.5737641235207
2022-10-02,L133/125,15654.35,37389.814,41.8679536624601
2022-09-25,L133/125,17797,41064.551,43.3390833860573
2022-09-25,L103,23861,51580.12,46.2600707404325
2022-09-18,L133/125,17632.69,40932.068,43.0779358619262
2022-09-11,L133/125,17542.36,40065.651,43.7840383524531
2022-08-28,L133/125,16069.13,36349.456,44.2073465968789
2022-08-21,L110,26330.32,55895.938,47.1059632275963
2022-08-21,L133/125,17169.07,38751.747,44.3052799658296
2022-08-14,L133/125,15645.72,35502.663,44.0691448976659
2022-08-07,L133/125,17098.46,40896.103,41.8095093314881
2022-07-31,L133/125,17221.38,39912.495,43.1478412963158
2022-07-24,L133/125,17025.72,39821.855,42.7547134607366
2022-07-17,L133/125,15524.48,36561.27,42.4615446892299
2022-06-26,L133/125,17592.82,41362.699,42.5330561721806
2022-06-19,L133/125,16219.74,38301.312,42.34773994165
2022-06-12,L133/125,15421.81,36220.923,42.5770762385045
2022-06-05,L133/125,17136.16,39652.802,43.2155084525931
2022-06-05,L130/146,17773.32,37408.442,47.5115215971839
2022-05-29,L103,23321.95,48027.239,48.5598391362868
2022-05-22,L103,21982.47,46946.389,46.824623721326
2022-05-22,L133/125,15369.69,37197.195,41.3194865903195
2022-05-15,L133/125,12410.53,29339.517,42.2997079331606
2022-05-08,L133/125,16527.21,37437.544,44.1460850102774
2022-05-08,L143/136/137,19774.45,41083.051,48.1328662761682
2022-05-01,L143/136/137,20156.09,43366.95,46.4779976456725
2022-04-24,L145/133,21997.23,54410.571,40.4282285513968
2022-04-17,L145/133,25513.39,56437.461,45.2064808514331
2022-04-17,L133/125,17308.87,39932.639,43.3451693488126
2022-04-10,L133/125,14232.09,33065.969,43.041502881709
2022-04-10,L102/144,9475,21556.081,43.9551141044608
2022-04-03,L133/125,16482.54,37764.43,43.6456739847523
2022-03-27,L133/125,16303.61,37241.408,43.7781783116256
2022-03-20,L133/125,15052.6,35099.104,42.8859950385058
2022-03-20,L128,11746.11,24315.547,48.3069946976722
2022-03-20,L145/133,23675.54,49828.687,47.5138748889771
2022-03-13,L145/133,26432.02,55947.606,47.2442377605934
2022-03-06,L145/133,27361.69,59960.077,45.6331802242348
2022-03-06,L143/136/137,20857.5,42595.257,48.9667194636248
2022-03-06,L128,12196.34,26517.485,45.9935774452216
2022-02-27,L128,9769.67,20469.095,47.7288810277152
2022-02-27,L143/136/137,17389.33,37041.949,46.9449650179045
2022-02-20,L133/125,12558.79,27090.401,46.3588191256379
2022-02-13,L133/125,13236.67,29381.084,45.0516733827792
2022-01-16,L143/136/137,16364.56,33390.295,49.0099293821753
2022-01-09,L143/136/137,15718.15,30793.183,51.0442522294626
2021-12-19,L143/136/137,18693.55,36294.637,51.5049923215929
2021-12-19,L133/125,15852.99,32274.436,49.119340148965
2021-12-12,L143/136/137,20121.11,41384.493,48.619926309113
2021-12-05,L133/125,15859.26,35122.301,45.1543878061976
2021-11-28,L133/125,16746.39,42325.105,39.5660920392283
2021-11-21,L133/125,14349.18,35594.636,40.3127594843223
2021-11-21,L102/144,10453.2,24329.776,42.9646372412142
2021-11-14,L102/144,12254.41,27982.043,43.7938359254183
2021-11-14,L133/125,16238.63,38192.036,42.5183669181711
2021-11-07,L133/125,16906.91,37855.988,44.6611246812526
2021-10-31,L133/125,16268.33,37026.086,43.9374823469054
2021-10-24,L133/125,17229.41,40198.168,42.8611821314842
2021-10-24,L103,25486.54,54014.969,47.1842166566827
2021-10-24,L143/136/137,19192.14,41424.382,46.3305403083623
2021-10-17,L143/136/137,18063.47,39523.905,45.7026450195141
2021-10-10,L143/136/137,16878.55,35931.157,46.9746910738221
2021-10-10,L130/146,14457.1,33406.901,43.2757890353254
2021-10-03,L130/146,14833.75,33178.036,44.7095482083388
2021-09-26,L130/146,15418.31,37912.566,40.6680729550197
2021-09-19,L130/146,16606.81,37299.106,44.5233459482916
2021-09-12,L130/146,17008.5,35956.956,47.3023912257756
2021-09-12,L103,21939.71,45894.03,47.8051502559265
2021-09-05,L103,21892.59,46810.445,46.7686004694038
2021-09-05,L133/125,15635.66,38162.879,40.9708607151992
2021-08-29,L130/146,16040.46,34919.428,45.9356321644215
2021-08-29,L133/125,14881.73,36466.411,40.8094177406162
2021-08-29,L143/136/137,16928.51,37899.908,44.6663617230944
2021-08-22,L130/146,14566.94,32468.854,44.8643490774266
2021-08-15,L130/146,13314.08,29407.797,45.2739795503893
2021-08-08,L130/146,15500.95,32617.568,47.5233162693184
2021-08-01,L130/146,15758.43,34526.854,45.641082735195
2021-08-01,L102/144,9523.94,20862.272,45.6514995106957
2021-07-25,L102/144,9889.79,19673.878,50.2686353956246
2021-07-18,L102/144,7626.5,16125.993,47.2932116490439
2021-07-11,L133/125,13802.81,31338.792,44.0438482759642
2021-07-04,L133/125,12806.28,27973.054,45.7807717384023
2021-07-04,L143/136/137,15101.74,30794.983,49.0396114198212
2021-07-04,L102/144,7793,15701.171,49.6332407308983
2021-06-27,L143/136/137,16862.28,34003.145,49.5903540687193
2021-06-27,L145/133,21083.79,40976.305,51.4536144730474
2021-06-20,L143/136/137,15028.85,32769.662,45.8620842656235
2021-06-20,L102/144,7112.83,16061.499,44.284969914701
2021-06-06,L102/144,7295.74,16889.291,43.1974320295624
2021-06-06,L143/136/137,16828.89,34822.866,48.3271250562777
2021-05-30,L143/136/137,16615.62,39520.861,42.0426569147874
2021-05-23,L143/136/137,8793.22,22803.263,38.5612357319214
2021-05-16,L143/136/137,10105.66,23325.908,43.3237582862798
2021-05-09,L143/136/137,15705.81,34891.572,45.0131911511468
2021-05-02,L143/136/137,17481.82,41173.465,42.4589477713377
2021-04-25,L143/136/137,18641.11,42880.278,43.4724560321181
2021-04-18,L143/136/137,18110.97,41317.538,43.8336137066057
2021-04-11,L143/136/137,18341.1,42664.235,42.9894031851268
2021-04-11,L102/144,11033.41,25506.155,43.2578332563258
2021-04-04,L102/144,11503.12,26395.85,43.5792747723601
2021-03-28,L102/144,9106.41999999999,21050.466,43.2599449342356
2021-03-28,L133/125,15972.89,38306.582,41.6975077546726
2021-03-21,L133/125,16581.63,42038.343,39.444061817565
2021-03-21,L130/146,15372.31,34545.264,44.4990375525861
2021-03-14,L130/146,16804.94,38240.163,43.9457854821382
2021-03-07,L133/125,18310,43324.131,42.2628211515656
2021-02-28,L133/125,20021.17,47419.311,42.2215539993822
2021-02-21,L133/125,21012.25,51392.489,40.8858383955679
2021-02-14,L133/125,17053.19,48329.373,35.2853532778089
2021-02-07,L133/125,19358.61,47918.614,40.3989355785625
2021-01-24,L133/125,16866.05,42235.477,39.9333716534088
2021-01-10,L143,18347.89,45515.37,40.311415682219
2021-01-10,L103,19222.62,43587.417,44.1013056589245
2021-01-03,L103,18943.39,44617.469,42.4573388508434
2021-01-03,L101,5190.73,12679.031,40.9394850442435
2020-12-27,L101,5122.79,13418.642,38.1766649710157
2020-12-20,L101,6267.31,19079.245,32.8488365236675
2020-12-13,L144,2872.3,6795.381,42.2684173264163
2020-12-13,L129,6173.61,15301.146,40.3473700597328
2020-12-06,L145,10423.51,26337.073,39.577328885408
2020-12-06,L125,3993.76,11009.183,36.2766247050303
2020-11-29,L125,3905.69,9534.855,40.9622380203999
2020-11-22,L143,18274.1,48843.921,37.413253534662
2020-11-22,L144,2697.36,7888.618,34.1930614462508
2020-11-08,L144,1155.11,3045.655,37.9264887191754
2020-11-01,L144,2703.93,7330.656,36.8852391927817
2020-11-01,L128,7960.69,20501.709,38.8293971005051
2020-10-25,L128,7575.02,18367.727,41.240922189229
